p d Ytrue Ypred
50 50 0.1 0.1135909 
60 40 0.7 0.6888847 
70 25 4.6 4.598818 
70 5 4.9 4.584572 
60 30 3.5 3.501238 
50 20 2.3 2.283487 
70 40 3.4 3.386731 
60 10 3.4 3.356304 
50 10 4.1 4.127402 
40 20 4.8 4.797892 
60 5 0.5 0.4842922 
60 5 1.4 1.235009 
60 20 2.5 2.497175 
40 5 3.5 3.616115 
70 5 1 0.961217 
60 5 2 1.973548 
70 40 3.3 3.286627 
50 45 2.1 2.129448 
50 15 1.3 1.302431 
50 5 1.2 1.060591 
40 5 3.1 3.280631 
50 25 4.5 4.491927 
40 20 3.9 3.859039 
50 35 1.6 1.619577 
40 15 0.1 0.01206797 
70 10 5 4.91957 
60 35 1.4 1.396167 
60 10 0.6 0.5741264 
50 50 4.1 4.108518 
60 15 3.9 3.866543 
60 30 3.8 3.808203 
70 20 4.7 4.684742 
60 20 2.6 2.603394 
50 15 1.5 1.491562 
50 15 4.9 4.947995 
50 30 2.1 2.114316 
50 25 1.4 1.416802 
60 25 2.3 2.283689 
70 25 3.2 3.198956 
60 10 1 1.001884 
50 10 3.5 3.487977 
60 25 3.1 3.099155 
70 20 0.7 0.711518 
50 35 1.2 1.189404 
40 10 3.2 3.162542 
50 25 3.4 3.407973 
50 20 4.7 4.695278 
50 5 0.1 0.05999073 
50 10 4.4 4.422174 
50 45 2 2.024042 
50 45 2.4 2.433635 
70 45 3.8 3.802501 
60 20 1 0.9854289 
50 25 1.6 1.6224 
40 45 0.6 0.6847343 
50 40 2.5 2.522191 
40 20 2.1 2.068435 
70 15 3.3 3.298812 
50 15 0.1 0.05653033 
70 15 1.6 1.59417 
70 30 0.3 0.2781556 
50 40 3.1 3.104553 
70 5 3.6 3.729655 
70 15 0.1 0.02512836 
40 35 0.7 0.708951 
40 45 4.6 4.609722 
40 50 2.2 2.224159 
60 15 2.3 2.339045 
70 15 1.7 1.695757 
40 5 0.2 0.2429477 
40 20 2.7 2.69165 
50 50 3.3 3.316853 
60 50 4.4 4.415012 
50 35 1.8 1.831927 
60 50 2 2.006544 
40 10 1.5 1.53879 
60 40 0.4 0.378002 
60 10 2 2.023614 
50 20 0.6 0.5969824 
70 45 1.8 1.794532 
40 20 1.4 1.417341 
60 20 3.5 3.516902 
50 40 3.8 3.814677 
40 10 3.7 3.715485 
40 15 2.9 2.87281 
40 20 4.5 4.473496 
40 5 3.8 3.833795 
40 30 1.2 1.188653 
50 35 0.7 0.694698 
60 45 2 2.015891 
70 40 2.4 2.404001 
50 30 4.2 4.212025 
50 20 3.4 3.405624 
70 20 3.8 3.812535 
70 30 3.6 3.593946 
50 10 2.8 2.72272 
50 30 3.6 3.610452 
40 30 1.3 1.301957 
40 40 2.3 2.324757 
60 25 0.8 0.8046916 
50 10 3.3 3.26601 
50 50 0.5 0.5143407 
50 15 2 2.011736 
50 45 4.9 4.906478 
40 50 0.9 0.9586805 
70 50 3.3 3.334452 
60 30 4.5 4.507473 
70 25 0.9 0.8990831 
40 30 0.5 0.5789213 
70 20 3 3.026263 
60 50 3.6 3.625672 
50 10 3.9 3.920741 
40 25 3 2.990913 
50 25 0.5 0.4743212 
50 45 3.3 3.308998 
60 25 1.4 1.406249 
70 45 2.6 2.617257 
70 15 0.7 0.6997215 
70 50 4.1 4.121262 
70 45 3.4 3.404341 
40 5 2.7 2.882786 
60 10 1.2 1.213271 
40 45 4.1 4.109682 
50 10 0.8 0.801952 
70 10 3.7 3.655219 
70 25 1.9 1.898444 
40 40 1.4 1.384061 
40 40 2.9 2.900117 
50 40 1.9 1.926505 
60 20 0.6 0.6206002 
60 20 0.9 0.8775669 
50 10 4.3 4.326012 
60 5 3.4 3.561737 
50 5 1.5 1.334892 
70 15 3.5 3.481124 
60 35 2.6 2.605998 
70 40 2.9 2.891992 
70 15 3.4 3.389411 
60 20 4.1 4.088015 
40 20 3.1 3.093494 
40 45 4.8 4.806597 
70 5 0.5 0.4617992 
60 15 3.6 3.567688 
70 15 4.4 4.372092 
40 35 4.5 4.531713 
70 30 1.9 1.900882 
70 45 3.9 3.90256 
40 50 1.8 1.793617 
40 20 4.9 4.907471 
70 40 2.2 2.204665 
50 10 1.6 1.64883 
50 40 2.9 2.907492 
60 5 3.2 3.380581 
50 25 4.6 4.591904 
60 45 2.4 2.430495 
60 40 3.9 3.907158 
70 50 1.5 1.508612 
60 40 2 2.019329 
50 45 1.1 1.111206 
50 35 2.4 2.419966 
70 5 0.3 0.2229857 
60 5 3.7 3.808557 
70 30 2.2 2.192266 
50 5 0.9 0.8878312 
40 15 1.5 1.4818 
40 15 4.3 4.29842 
50 30 2.3 2.302551 
40 20 1.9 1.872987 
40 30 4 4.010455 
50 25 4.7 4.692927 
60 25 4.2 4.204828 
60 15 2.9 2.923281 
60 45 3 3.019035 
40 5 1.3 1.123892 
40 35 2.9 2.905047 
60 15 0.4 0.4423039 
50 15 1.7 1.691675 
40 50 1.7 1.683027 
60 30 1.5 1.502944 
60 50 3 3.039334 
60 10 2.8 2.722165 
50 40 2.2 2.231456 
60 40 2.2 2.222779 
50 35 0.2 0.2173447 
40 35 3.9 3.931869 
60 50 4.1 4.119301 
50 50 3.7 3.710078 
60 20 1.3 1.310784 
40 5 2.2 2.283731 
40 5 4.3 4.144603 
40 15 4.9 4.944638 
40 20 1.1 1.112299 
40 25 4.2 4.182063 
40 50 4.9 4.882565 
70 45 3.6 3.602854 
60 30 1.1 1.086412 
50 25 1.9 1.907209 
50 10 4.7 4.697535 
70 45 2.9 2.913136 
60 45 2.1 2.121834 
40 25 3.7 3.694715 
70 30 3.9 3.901635 
70 50 1.8 1.793678 
70 30 4.2 4.204684 
60 15 0.8 0.786019 
40 40 2.4 2.419961 
70 10 0.9 0.8875346 
50 5 2.6 2.764233 
50 25 3.8 3.80654 
40 10 3.4 3.386777 
40 45 2.5 2.52057 
40 30 2.2 2.205062 
60 40 3.6 3.602526 
70 10 3.9 3.865526 
50 25 0.4 0.4157507 
40 30 4.9 4.907708 
70 35 2.4 2.399421 
70 50 2.7 2.737989 
40 45 0.5 0.3724765 
50 25 1 0.974441 
40 25 3.6 3.596641 
70 50 1.6 1.600899 
70 45 5 4.992285 
40 10 4.1 4.128419 
50 5 2.9 3.093426 
40 15 3.5 3.442481 
40 25 2.4 2.376103 
40 40 1.9 1.929255 
60 20 0.4 0.4087436 
40 50 3.6 3.586969 
40 35 0.5 0.6210526 
50 45 4.5 4.513623 
70 30 3.4 3.387209 
60 10 4.9 4.861794 
40 25 1.7 1.719077 
40 5 4.6 4.305447 
50 15 3.7 3.661049 
50 30 2.8 2.790212 
50 35 4.9 4.928429 
40 45 3.4 3.395951 
50 10 2.5 2.428013 
40 20 4 3.957775 
40 50 1.1 1.122252 
60 40 1.3 1.300508 
70 50 2 2.000893 
50 50 2.9 2.930097 
70 45 4.1 4.102686 
70 45 2.4 2.416226 
70 25 0.6 0.6237457 
60 5 3.8 3.884753 
60 15 1.4 1.398096 
50 15 0.8 0.7890568 
60 25 4.4 4.399891 
70 10 4.4 4.370191 
40 50 2.6 2.620736 
40 50 2.3 2.326196 
50 5 0.6 0.6228916 
60 50 2.4 2.436576 
50 45 3 3.014886 
60 30 2.7 2.684634 
50 45 2.8 2.821734 
60 35 0.7 0.690987 
50 30 4 4.013492 
40 40 3.4 3.404989 
40 20 4.4 4.367523 
70 50 4.3 4.317941 
50 50 5 4.991602 
40 25 4.9 4.892531 
70 50 0.4 0.3543272 
40 50 3.4 3.388663 
40 45 2.2 2.228579 
50 35 2.3 2.324693 
60 40 2.6 2.61426 
60 25 1.5 1.511917 
60 20 3.7 3.706786 
60 45 0.3 0.29747 
70 20 2.4 2.391065 
50 20 1.8 1.789333 
50 40 0.3 0.3104708 
40 15 4.1 4.079357 
70 40 1.3 1.320452 
70 25 3.5 3.510358 
60 5 3 3.184694 
40 45 0.4 0.455003 
70 45 4.2 4.202579 
70 25 2.5 2.476283 
70 35 0.3 0.2815091 
50 45 4.3 4.314928 
60 15 1 1.001443 
60 10 0.9 0.8969499 
40 50 4.2 4.190981 
60 50 4.8 4.804976 
70 45 1.9 1.897706 
70 45 3.5 3.503437 
70 5 0.2 0.3028378 
50 25 2.6 2.582714 
60 50 0.4 0.4738005 
60 5 2.8 2.973085 
40 25 3.8 3.792279 
50 35 1.9 1.934428 
70 25 1.5 1.501867 
70 50 2.1 2.107508 
40 25 3.2 3.196181 
50 45 3.1 3.112217 
70 15 3.8 3.764992 
70 15 0.8 0.7918378 
50 40 1.2 1.191286 
40 20 3.3 3.285789 
40 15 2.1 2.106903 
70 10 2.7 2.632781 
50 35 4.2 4.230115 
70 15 1.3 1.300104 
70 45 2.7 2.716432 
40 10 0.5 0.4889579 
40 35 0.6 0.6232405 
50 30 3.4 3.405589 
50 30 4.7 4.707429 
40 20 2.6 2.587598 
70 50 3.9 3.924234 
70 10 1.5 1.537412 
40 50 4.6 4.589163 
40 35 3.7 3.728292 
60 25 0.6 0.6263041 
50 10 4.5 4.516146 
70 15 4.7 4.686865 
40 20 0.8 0.7659616 
50 20 0.7 0.6726272 
50 50 2 2.011799 
50 40 3.2 3.204453 
50 15 2.5 2.532284 
60 40 0.9 0.9081102 
70 5 2.1 2.103427 
40 30 3.4 3.406711 
50 30 1.1 1.080713 
70 15 1.1 1.100725 
60 45 2.5 2.530422 
60 15 0.2 0.1661 
70 35 2.7 2.690037 
60 45 5 5.000396 
50 25 0.7 0.71078 
70 30 0.6 0.6158097 
60 25 3.4 3.409912 
50 15 0.9 0.9012713 
40 50 0.6 0.6846898 
60 10 3.6 3.574296 
50 30 2.4 2.39754 
40 15 2.5 2.508376 
60 40 1 1.030932 
60 25 0.7 0.7364149 
70 20 1.7 1.697783 
50 10 1.4 1.436629 
70 45 3.7 3.702572 
60 25 3 2.994818 
50 25 4.2 4.196722 
50 45 5 5.004292 
50 5 3.8 3.872182 
50 50 3.5 3.512482 
70 5 3.4 3.559018 
50 10 3.7 3.707036 
60 35 3 2.998834 
40 5 2 2.014412 
70 10 4.5 4.466326 
40 45 4.2 4.210807 
70 15 1.4 1.397357 
40 5 0.1 0.08648843 
70 35 3.4 3.390439 
60 50 2.8 2.842658 
40 30 3.6 3.610386 
50 30 4.3 4.310924 
40 10 5 4.925698 
60 45 3.2 3.214334 
70 25 3.7 3.714152 
40 50 0.7 0.7783624 
40 5 4.4 4.20014 
50 5 2.5 2.645698 
40 40 0.9 0.9140369 
70 20 1.5 1.506109 
70 50 3 3.038839 
60 5 0.8 0.8009621 
40 30 4.5 4.504838 
60 15 2.6 2.643196 
40 20 3.5 3.475346 
40 20 3.2 3.190175 
50 15 2.4 2.433505 
50 20 4 3.978508 
50 50 3.6 3.611058 
70 15 2.3 2.340904 
50 30 2.2 2.208323 
60 10 4.4 4.40292 
60 35 1.1 1.113205 
50 45 4.1 4.114398 
50 25 0.3 0.2478564 
70 25 4.3 4.306443 
60 30 4.1 4.110354 
70 20 0.3 0.2340546 
40 45 2.3 2.32741 
70 35 2 2.005474 
70 25 4.8 4.79581 
60 15 1.6 1.593674 
50 40 1.6 1.603819 
70 25 0.3 0.2618937 
70 25 1.6 1.604522 
40 50 4.8 4.785176 
50 15 4.1 4.082244 
60 25 1.1 1.080253 
50 45 1.4 1.381747 
70 20 1.9 1.887964 
40 45 3.8 3.803797 
50 5 5 4.572008 
50 15 0.5 0.4936102 
60 5 3.3 3.472961 
70 20 1.4 1.407071 
50 10 5 4.953469 
60 5 3.1 3.284569 
40 45 0.1 0.1044719 
50 30 5 5.010176 
60 5 3.6 3.729458 
60 45 2.8 2.824612 
60 20 2.4 2.391515 
40 30 4.7 4.704753 
50 45 2.5 2.531789 
50 25 5 5.002779 
60 45 3.6 3.610555 
60 30 0.6 0.5992521 
70 15 1.2 1.201651 
40 50 0.5 0.3724765 
60 20 3.2 3.225214 
70 5 3.7 3.810335 
70 15 3.6 3.574152 
70 20 3.4 3.429868 
40 50 3.5 3.48745 
70 5 4.4 4.300283 
40 35 3.3 3.315598 
50 25 4 4.001898 
40 35 2.8 2.804642 
50 10 1.1 1.112453 
40 5 0.9 0.8832797 
50 35 2.6 2.611542 
70 25 3.4 3.407198 
70 35 0.1 0.05661711 
70 15 2.1 2.123827 
70 45 1 0.9641901 
60 40 4.6 4.608622 
70 20 4.6 4.583734 
60 30 1.4 1.395472 
70 20 0.6 0.6471945 
50 5 2.2 2.264951 
70 10 1.1 1.099456 
70 30 2.4 2.383551 
70 5 3 3.176888 
50 10 0.5 0.4837458 
60 45 1.3 1.306784 
40 15 3.7 3.648923 
50 35 1.7 1.726903 
40 40 2.6 2.609942 
50 35 2 2.03452 
50 25 3.9 3.904397 
60 5 4.7 4.45927 
40 20 3.7 3.665474 
40 25 0.2 0.1737033 
50 30 3.8 3.813146 
40 35 1.5 1.516189 
40 45 2.1 2.127645 
60 45 1.1 1.117242 
50 35 3.8 3.826099 
50 45 0.4 0.4336674 
40 20 2.9 2.895754 
70 5 3.3 3.468787 
70 25 3.6 3.612707 
50 10 4.8 4.784992 
70 25 1.8 1.802404 
50 25 2.5 2.481506 
40 35 2 2.035718 
70 40 1.9 1.897735 
50 50 2.1 2.120868 
50 50 2.2 2.228154 
40 5 4.8 4.403687 
70 30 4.5 4.503656 
70 50 2.2 2.214621 
50 5 1.9 1.856328 
60 35 1 1.032539 
40 10 2.2 2.141977 
40 5 1.7 1.597986 
60 45 0.2 0.2355959 
70 25 1.2 1.184729 
60 10 4 4.00081 
40 15 4.8 4.83931 
70 40 2.8 2.794535 
50 20 4.4 4.379709 
60 35 3.8 3.815559 
60 15 3.8 3.765173 
70 40 3.5 3.487333 
70 20 0.5 0.5408223 
60 35 4.4 4.421707 
40 15 2.6 2.601515 
50 40 4.3 4.319615 
50 35 3.5 3.51837 
40 25 0.6 0.6079592 
40 40 0.3 0.3174301 
60 15 3.7 3.665485 
60 25 4.5 4.497943 
40 45 1.9 1.918362 
60 15 3.2 3.193871 
40 30 2.7 2.688837 
60 30 2.3 2.297976 
70 25 0.4 0.3633246 
60 50 0.5 0.5491941 
70 25 4.2 4.209065 
60 15 3.3 3.285058 
40 5 0.7 0.7357062 
50 5 3.2 3.385055 
40 10 2.6 2.510282 
50 5 4.2 4.139383 
50 20 0.9 0.8763426 
40 15 1.6 1.579556 
40 35 4 4.03278 
70 10 1.8 1.85242 
70 20 4 4.001262 
70 45 3 3.011105 
60 35 3.7 3.713155 
50 40 0.1 0.1003282 
70 45 0.9 0.8172408 
50 15 3.5 3.460728 
50 5 4.7 4.423398 
40 5 2.6 2.772275 
60 45 2.3 2.329184 
40 30 0.8 0.792175 
40 5 1.6 1.463857 
50 25 2.7 2.685156 
70 35 3.6 3.595675 
50 40 0.9 0.9185572 
70 45 2.8 2.814978 
70 50 0.2 0.2342978 
70 50 4.2 4.219672 
50 10 3.8 3.814697 
40 45 3.9 3.906048 
40 10 1.6 1.638705 
40 45 1.8 1.810001 
60 5 2.5 2.624946 
70 30 4.6 4.602836 
60 45 1.6 1.591052 
50 15 3.9 3.868857 
40 15 0.2 0.2255504 
70 35 4 4.005745 
60 20 1.9 1.887501 
70 45 0.5 0.4511821 
60 45 3.5 3.510806 
70 25 3.3 3.303334 
60 25 1.2 1.188445 
50 5 1.4 1.227283 
70 25 1.4 1.396941 
60 20 4 3.991712 
50 20 4.8 4.802859 
40 30 1.5 1.523413 
50 45 2.9 2.918121 
40 40 2.1 2.131048 
70 10 2.5 2.455053 
70 40 0.7 0.3691586 
60 40 0.6 0.5623269 
60 5 1.7 1.574263 
50 5 1.7 1.584244 
70 5 1.4 1.255835 
70 20 3.2 3.231262 
60 15 4.7 4.714965 
70 50 0.1 0.05732656 
40 10 4.7 4.680359 
50 20 2.9 2.912608 
50 15 3.8 3.764188 
60 15 1.1 1.10551 
70 45 2.3 2.314106 
60 10 2.2 2.187464 
50 35 0.6 0.661281 
70 45 4.3 4.302249 
60 10 4.8 4.774079 
60 40 4.9 4.905173 
70 40 3.1 3.088161 
70 5 4.1 4.105101 
70 35 1.5 1.491167 
40 50 0.2 0.2639765 
40 5 1.5 1.337359 
50 30 3 2.993625 
60 15 1.9 1.906735 
40 20 4.1 4.057981 
70 20 0.8 0.7925934 
40 20 1.6 1.598581 
50 25 4.4 4.392851 
50 50 4 4.008807 
40 35 0.1 0.09996054 
50 35 3.6 3.621257 
70 10 2.4 2.370224 
60 20 1.6 1.605161 
60 40 2.7 2.710791 
70 30 3.3 3.28381 
40 40 2.2 2.228651 
50 25 0.8 0.7840415 
60 15 5 5.034551 
40 20 2 1.969333 
50 35 0.9 0.9223239 
60 30 0.4 0.3417752 
60 10 3.9 3.89607 
50 15 3.3 3.268491 
60 40 2.5 2.517556 
