Isc(A) T(K) L(mkm)
4.72753E-1 322 8.10E-5
6.29046E-1 329 2.31E-4
5.13147E-1 315 1.07E-4
2.80464E-1 312 3.00E-5
5.27513E-1 315 1.17E-4
6.16148E-1 308 2.32E-4
6.21008E-1 295 2.62E-4
6.39217E-1 333 2.49E-4
6.32217E-1 303 2.77E-4
4.62677E-1 310 8.20E-5
5.88029E-1 290 2.06E-4
5.93503E-1 326 1.73E-4
6.18438E-1 320 2.20E-4
5.59267E-1 333 1.30E-4
6.21127E-1 329 2.14E-4
6.29318E-1 300 2.74E-4
6.22434E-1 334 2.11E-4
2.87286E-1 327 2.90E-5
4.11454E-1 328 5.60E-5
5.90247E-1 304 1.93E-4
5.97888E-1 334 1.72E-4
7.21019E-2 314 5.00E-6
6.28683E-1 333 2.26E-4
4.06664E-1 331 5.40E-5
6.39107E-1 306 2.92E-4
6.47064E-1 319 2.93E-4
2.09491E-1 293 2.20E-5
6.08401E-1 290 2.42E-4
6.42598E-1 328 2.66E-4
6.32637E-1 339 2.26E-4
5.62455E-1 314 1.48E-4
6.29821E-1 319 2.46E-4
4.64813E-1 300 8.80E-5
6.26034E-1 333 2.20E-4
4.91448E-1 331 8.60E-5
4.79436E-1 306 9.30E-5
3.98831E-1 299 6.20E-5
5.62802E-1 300 1.61E-4
6.47238E-1 320 2.92E-4
6.31860E-1 310 2.64E-4
1.35423E-1 311 1.10E-5
5.09762E-1 320 1.02E-4
3.99960E-1 332 5.20E-5
4.15460E-1 293 7.10E-5
3.90915E-1 294 6.20E-5
1.03238E-1 293 9.00E-6
5.61262E-1 307 1.53E-4
4.93107E-1 293 1.08E-4
3.31248E-1 317 3.90E-5
4.17905E-1 333 5.60E-5
3.40708E-1 312 4.20E-5
6.18632E-1 313 2.31E-4
5.65527E-1 328 1.40E-4
6.33340E-1 314 2.63E-4
4.83251E-1 313 9.10E-5
5.21204E-1 300 1.23E-4
6.02361E-1 300 2.16E-4
4.70996E-1 320 8.10E-5
5.32751E-1 324 1.14E-4
5.00561E-1 291 1.15E-4
3.43872E-1 308 4.40E-5
6.35814E-1 302 2.89E-4
4.11892E-1 330 5.60E-5
5.68949E-1 300 1.68E-4
6.40667E-1 324 2.66E-4
5.23589E-1 326 1.07E-4
5.56395E-1 291 1.63E-4
6.42823E-1 317 2.83E-4
5.88523E-1 305 1.88E-4
5.49631E-1 292 1.55E-4
4.88269E-1 325 8.70E-5
6.25980E-1 302 2.62E-4
4.63724E-1 298 8.90E-5
4.15832E-1 337 5.50E-5
5.44697E-1 318 1.28E-4
8.34386E-2 290 7.00E-6
4.81948E-1 327 8.30E-5
4.81551E-1 307 9.30E-5
6.13657E-1 312 2.22E-4
3.62166E-1 295 5.30E-5
6.27212E-1 307 2.58E-4
6.02158E-1 325 1.86E-4
6.03411E-1 321 1.93E-4
6.40259E-1 315 2.80E-4
1.93273E-1 338 1.50E-5
6.29437E-1 310 2.59E-4
5.20005E-1 325 1.05E-4
3.37126E-1 297 4.50E-5
5.83097E-1 325 1.61E-4
6.29894E-1 301 2.74E-4
4.91940E-1 294 1.07E-4
2.62332E-1 299 3.00E-5
4.56736E-1 330 7.10E-5
5.87759E-1 293 2.02E-4
4.89195E-1 338 8.10E-5
5.89080E-1 305 1.89E-4
6.21493E-1 295 2.63E-4
6.20744E-1 306 2.44E-4
6.47684E-1 335 2.69E-4
1.74649E-1 300 1.70E-5
3.22780E-1 300 4.10E-5
5.11397E-1 331 9.70E-5
6.26958E-1 339 2.14E-4
6.31354E-1 339 2.23E-4
6.15604E-1 295 2.50E-4
6.19963E-1 310 2.38E-4
5.76659E-1 315 1.62E-4
6.25603E-1 325 2.29E-4
6.13456E-1 314 2.18E-4
6.15839E-1 327 2.07E-4
5.89199E-1 301 1.94E-4
3.02691E-1 338 3.00E-5
5.16774E-1 313 1.11E-4
4.28328E-1 308 6.90E-5
2.83018E-1 301 3.30E-5
6.25669E-1 321 2.34E-4
5.50288E-1 336 1.20E-4
4.02232E-1 308 6.00E-5
5.38349E-1 303 1.35E-4
6.36849E-1 310 2.78E-4
3.75371E-1 317 4.90E-5
5.86678E-1 319 1.71E-4
6.15308E-1 327 2.06E-4
5.44906E-1 328 1.21E-4
5.66151E-1 296 1.69E-4
6.40193E-1 320 2.70E-4
5.81311E-1 301 1.83E-4
5.41462E-1 325 1.21E-4
5.07630E-1 328 9.60E-5
5.97438E-1 333 1.72E-4
5.20153E-1 316 1.11E-4
6.36982E-1 323 2.58E-4
5.37623E-1 311 1.27E-4
6.31285E-1 330 2.34E-4
5.35818E-1 305 1.30E-4
6.01849E-1 315 1.97E-4
1.43284E-1 294 1.30E-5
5.38485E-1 302 1.35E-4
6.22350E-1 305 2.49E-4
5.83710E-1 317 1.69E-4
5.87992E-1 312 1.80E-4
6.30893E-1 318 2.50E-4
5.94821E-1 295 2.10E-4
3.17250E-1 321 3.50E-5
4.80345E-1 305 9.40E-5
1.90785E-1 296 1.90E-5
3.46667E-1 312 4.40E-5
4.08476E-1 304 6.30E-5
6.28310E-1 309 2.58E-4
5.11804E-1 326 9.90E-5
5.08268E-1 295 1.17E-4
6.01311E-1 338 1.72E-4
5.94113E-1 324 1.76E-4
2.68096E-1 293 3.20E-5
5.00043E-1 310 1.02E-4
9.82033E-2 304 8.00E-6
6.24603E-1 318 2.36E-4
6.35989E-1 306 2.82E-4
4.72858E-1 296 9.50E-5
5.56360E-1 311 1.44E-4
5.52786E-1 301 1.50E-4
5.04350E-1 328 9.40E-5
3.94695E-1 300 6.10E-5
6.38277E-1 314 2.75E-4
5.68598E-1 331 1.40E-4
8.99142E-2 313 7.00E-6
6.38228E-1 327 2.55E-4
1.88210E-1 336 1.50E-5
5.54366E-1 299 1.53E-4
5.77871E-1 291 1.90E-4
6.43468E-1 331 2.63E-4
6.04662E-1 300 2.20E-4
4.02699E-1 339 5.00E-5
5.95018E-1 307 1.96E-4
6.05894E-1 326 1.92E-4
5.44452E-1 303 1.40E-4
5.96359E-1 317 1.87E-4
5.48389E-1 320 1.29E-4
6.05141E-1 324 1.92E-4
