N_B;T;d;Jsc_e;Eta_e;Voc_e;FF_e;N_Fe;All_var_AM(4);All_var_AM(3);All_var_AM(2);All_var_AM(1)
1.57E+01;318;2.00E-04;1.36E-01;-6.12E-01;-2.44E+00;1.65E+00;1.14E+01;11.43777752;11.49928188;11.55200863;11.74105644
1.57E+01;318;2.00E-04;1.82E-01;-5.30E-01;-2.86E+00;2.08E+00;1.15E+01;11.63302994;11.69828129;11.61697674;11.78738403
1.57E+01;318;2.00E-04;2.42E-01;-4.72E-01;-3.28E+00;2.48E+00;1.16E+01;11.78301334;11.78600979;11.54848766;11.89820576
1.57E+01;318;2.00E-04;3.19E-01;-3.08E-01;-3.65E+00;2.91E+00;1.17E+01;11.84225941;11.84850788;11.69741058;11.97842598
1.57E+01;318;2.00E-04;4.15E-01;-5.45E-02;-3.94E+00;3.33E+00;1.18E+01;11.90251064;11.91426182;11.85513783;12.10133076
1.57E+01;318;2.00E-04;5.30E-01;1.55E-01;-4.07E+00;3.55E+00;1.20E+01;11.97375965;12.00751591;12.0867424;12.26164055
1.57E+01;318;2.00E-04;6.59E-01;4.73E-01;-3.97E+00;3.64E+00;1.21E+01;11.99475765;12.06851196;12.263937;12.41314793
1.57E+01;318;2.00E-04;7.96E-01;7.52E-01;-3.55E+00;3.39E+00;1.22E+01;12.09425354;12.10751724;12.55282688;12.67305851
1.57E+01;318;2.00E-04;9.32E-01;1.01E+00;-2.85E+00;2.84E+00;1.23E+01;12.20026875;12.18377113;12.75394917;12.80114555
1.57E+01;318;2.00E-04;1.06E+00;1.24E+00;-2.11E+00;2.25E+00;1.24E+01;12.32277203;12.30876923;12.94275951;12.99741268
1.57E+01;318;2.00E-04;1.18E+00;1.45E+00;-1.54E+00;1.78E+00;1.25E+01;12.45375443;12.45300674;13.16305828;13.20059681
1.57E+01;318;2.00E-04;1.29E+00;1.63E+00;-1.15E+00;1.48E+00;1.26E+01;12.5687542;12.56824112;13.29421616;13.30407619
1.57E+01;318;2.00E-04;1.39E+00;1.80E+00;-9.09E-01;1.31E+00;1.28E+01;12.70374012;12.70472813;13.39743137;13.58880615
1.57E+01;318;2.00E-04;1.49E+00;1.96E+00;-7.05E-01;1.17E+00;1.29E+01;12.85798264;12.8647337;13.62019157;13.65765476
1.57E+01;318;2.00E-04;1.60E+00;2.13E+00;-5.50E-01;1.08E+00;1.30E+01;12.90648937;12.96024895;13.69623852;13.69626141
1.57E+01;318;2.00E-04;1.71E+00;2.35E+00;-3.93E-01;1.04E+00;1.31E+01;13.0367384;13.11600018;13.79465866;13.79561138
1.57E+01;318;2.00E-04;1.83E+00;2.47E+00;-2.46E-01;9.02E-01;1.32E+01;13.1964922;13.24823761;13.90397644;13.99468708
1.57E+01;318;2.00E-04;1.95E+00;2.66E+00;-1.16E-01;8.39E-01;1.33E+01;13.30673313;13.36721611;13.86581135;13.89311028
1.57E+01;318;2.00E-04;2.08E+00;2.85E+00;1.56E-02;7.74E-01;1.34E+01;13.54149437;13.60124779;13.89397144;13.88480949
1.57E+01;318;2.00E-04;2.21E+00;3.04E+00;1.38E-01;7.15E-01;1.36E+01;13.57198429;13.63698864;13.90723324;13.94458675
1.57E+01;318;2.00E-04;2.34E+00;3.30E+00;2.53E-01;7.31E-01;1.37E+01;13.68597984;13.75523853;13.89769745;13.93597698
1.57E+01;318;2.00E-04;2.47E+00;3.45E+00;3.75E-01;6.28E-01;1.38E+01;13.7692337;13.87923431;13.99771118;13.99282646
1.57E+01;318;2.00E-04;2.61E+00;3.72E+00;4.78E-01;6.65E-01;1.39E+01;13.82299995;13.90222645;13.92094898;13.90908623
1.57E+01;323;2.00E-04;2.00E-02;-1.13E-01;-2.05E-01;7.14E-02;1.01E+01;10.11625195;10.16400051;10.34512806;10.38162994
1.57E+01;323;2.00E-04;2.34E-02;-9.72E-02;-2.64E-01;1.42E-01;1.02E+01;10.28353119;10.29703331;10.26268482;10.44122887
1.57E+01;323;2.00E-04;2.78E-02;-1.26E-01;-3.39E-01;1.85E-01;1.03E+01;10.35051632;10.40075207;10.45377159;10.53847885
1.57E+01;323;2.00E-04;3.35E-02;-1.59E-01;-4.35E-01;2.41E-01;1.05E+01;10.65622616;10.83747387;10.56837463;10.62479782
1.57E+01;323;2.00E-04;4.10E-02;-1.98E-01;-5.55E-01;3.14E-01;1.06E+01;10.68272781;10.71923351;10.70976067;10.83160591
1.57E+01;323;2.00E-04;5.08E-02;-2.43E-01;-7.04E-01;4.07E-01;1.07E+01;10.72273731;10.80775452;10.89548206;10.93787479
1.57E+01;323;2.00E-04;6.37E-02;-2.91E-01;-8.87E-01;5.27E-01;1.08E+01;10.84577751;10.87477493;11.00984097;11.06373024
1.57E+01;323;2.00E-04;8.06E-02;-3.40E-01;-1.11E+00;6.80E-01;1.09E+01;11.01678085;11.01103115;11.17551136;11.19954395
1.57E+01;323;2.00E-04;1.03E-01;-3.86E-01;-1.38E+00;8.78E-01;1.10E+01;11.12326336;11.08676147;11.27854252;11.27208424
1.57E+01;323;2.00E-04;1.32E-01;-4.63E-01;-1.70E+00;1.09E+00;1.11E+01;11.1962328;11.21098328;11.34785557;11.37014771
1.57E+01;323;2.00E-04;1.69E-01;-4.75E-01;-2.06E+00;1.39E+00;1.13E+01;11.28574085;11.30499554;11.37849426;11.4294405
1.57E+01;323;2.00E-04;2.18E-01;-4.13E-01;-2.45E+00;1.78E+00;1.14E+01;11.44453049;11.48203278;11.45324421;11.60244179
1.57E+01;323;2.00E-04;2.81E-01;-3.29E-01;-2.87E+00;2.20E+00;1.15E+01;11.61553288;11.66302967;11.54049778;11.68945217
1.57E+01;323;2.00E-04;3.61E-01;-2.38E-01;-3.29E+00;2.61E+00;1.16E+01;11.74451828;11.7525177;11.60453129;11.79941654
1.57E+01;323;2.00E-04;4.59E-01;-7.27E-03;-3.66E+00;3.08E+00;1.17E+01;11.8287611;11.82351017;11.78094578;11.92120934
1.57E+01;323;2.00E-04;5.76E-01;2.45E-01;-3.94E+00;3.47E+00;1.18E+01;11.90025139;11.9195013;11.92746925;12.07927608
1.57E+01;323;2.00E-04;7.11E-01;5.17E-01;-4.05E+00;3.70E+00;1.20E+01;11.94875813;12.0012598;12.10396481;12.19634247
1.57E+01;323;2.00E-04;8.58E-01;8.22E-01;-3.91E+00;3.72E+00;1.21E+01;12.00250721;12.04476357;12.25881195;12.30605793
1.57E+01;323;2.00E-04;1.01E+00;1.11E+00;-3.44E+00;3.42E+00;1.22E+01;12.09075737;12.10251331;12.4432745;12.48833561
1.57E+01;323;2.00E-04;1.16E+00;1.38E+00;-2.70E+00;2.85E+00;1.23E+01;12.22177505;12.21577454;12.71210289;12.781353
1.57E+01;323;2.00E-04;1.29E+00;1.62E+00;-1.96E+00;2.25E+00;1.24E+01;12.30901718;12.3142662;12.81486988;12.9750309
1.57E+01;323;2.00E-04;1.42E+00;1.83E+00;-1.40E+00;1.79E+00;1.25E+01;12.46724987;12.46975136;13.05581093;13.15560627
1.57E+01;323;2.00E-04;1.53E+00;2.01E+00;-1.03E+00;1.51E+00;1.26E+01;12.56199455;12.56949329;13.13745117;13.16444492
1.57E+01;323;2.00E-04;1.64E+00;2.18E+00;-7.79E-01;1.33E+00;1.28E+01;12.64998722;12.67348099;13.27305222;13.28654099
1.57E+01;323;2.00E-04;1.74E+00;2.35E+00;-5.79E-01;1.19E+00;1.29E+01;12.79347324;12.84271431;13.46344852;13.45043755
1.57E+01;323;2.00E-04;1.86E+00;2.53E+00;-4.21E-01;1.10E+00;1.30E+01;12.94574833;12.99650955;13.60997391;13.68322563
1.57E+01;323;2.00E-04;1.98E+00;2.71E+00;-2.61E-01;1.01E+00;1.31E+01;13.11424732;13.18124771;13.65088654;13.65840626
1.57E+01;323;2.00E-04;2.11E+00;2.90E+00;-1.19E-01;9.30E-01;1.32E+01;13.19249153;13.27497292;13.77022743;13.77548504
1.57E+01;323;2.00E-04;2.24E+00;3.15E+00;1.96E-02;9.15E-01;1.33E+01;13.37672997;13.4614706;13.99584866;13.99226665
1.57E+01;323;2.00E-04;2.38E+00;3.30E+00;1.57E-01;7.91E-01;1.34E+01;13.49972534;13.59674263;13.88746357;13.90504265
1.57E+01;323;2.00E-04;2.52E+00;3.57E+00;2.77E-01;7.98E-01;1.36E+01;13.56747723;13.69350243;13.9965477;13.99143124
1.57E+01;323;2.00E-04;2.67E+00;3.74E+00;3.99E-01;7.05E-01;1.37E+01;13.72650146;13.82950878;13.94607544;13.93095875
1.57E+01;323;2.00E-04;2.82E+00;3.96E+00;5.17E-01;6.66E-01;1.38E+01;13.82749844;13.93197441;13.9781723;13.99119854
1.57E+01;323;2.00E-04;2.97E+00;4.26E+00;6.27E-01;7.07E-01;1.39E+01;13.86648941;13.92247581;13.99073315;13.99259377
1.57E+01;328;2.00E-04;2.51E-02;-6.68E-02;-2.08E-01;1.15E-01;1.01E+01;10.16800404;10.17400074;10.19119358;10.25782299
1.57E+01;328;2.00E-04;2.95E-02;-8.73E-02;-2.68E-01;1.50E-01;1.02E+01;10.29228115;10.29978371;10.29964066;10.31932449
1.57E+01;328;2.00E-04;3.52E-02;-1.13E-01;-3.44E-01;1.96E-01;1.03E+01;10.39075661;10.41549683;10.44721222;10.40262508
1.57E+01;328;2.00E-04;4.26E-02;-1.43E-01;-4.41E-01;2.54E-01;1.05E+01;10.60122585;10.67022324;10.55769444;10.62659645
1.57E+01;328;2.00E-04;5.22E-02;-1.78E-01;-5.63E-01;3.31E-01;1.06E+01;10.68672657;10.74698353;10.68984604;10.747715
1.57E+01;328;2.00E-04;6.48E-02;-2.17E-01;-7.15E-01;4.29E-01;1.07E+01;10.72474289;10.76050472;10.78371811;10.80857563
1.57E+01;328;2.00E-04;8.11E-02;-2.60E-01;-9.01E-01;5.55E-01;1.08E+01;10.83577824;10.87177372;10.92525673;11.02143574
1.57E+01;328;2.00E-04;1.02E-01;-3.02E-01;-1.13E+00;7.15E-01;1.09E+01;11.01928139;11.06702805;11.05352116;11.12174892
1.57E+01;328;2.00E-04;1.30E-01;-3.38E-01;-1.41E+00;9.26E-01;1.10E+01;11.14674377;11.16748524;11.24803257;11.28336716
1.57E+01;328;2.00E-04;1.65E-01;-4.03E-01;-1.73E+00;1.14E+00;1.11E+01;11.20173168;11.21548367;11.29278755;11.31031227
1.57E+01;328;2.00E-04;2.11E-01;-3.96E-01;-2.10E+00;1.46E+00;1.13E+01;11.28624439;11.29524612;11.35414696;11.46358585
1.57E+01;328;2.00E-04;2.69E-01;-3.12E-01;-2.50E+00;1.87E+00;1.14E+01;11.44127083;11.46752644;11.46325779;11.55814266
1.57E+01;328;2.00E-04;3.43E-01;-2.10E-01;-2.93E+00;2.31E+00;1.15E+01;11.63528538;11.66452599;11.51790714;11.66765785
1.57E+01;328;2.00E-04;4.34E-01;-9.56E-02;-3.35E+00;2.73E+00;1.16E+01;11.74651146;11.74401474;11.63959122;11.80607891
1.57E+01;328;2.00E-04;5.44E-01;1.61E-01;-3.71E+00;3.21E+00;1.17E+01;11.82675648;11.82300854;11.79885578;11.93598366
1.57E+01;328;2.00E-04;6.74E-01;3.86E-01;-3.98E+00;3.55E+00;1.18E+01;11.90025043;11.91474819;11.93631268;12.02811146
1.57E+01;328;2.00E-04;8.20E-01;7.20E-01;-4.07E+00;3.81E+00;1.20E+01;11.95475769;12.00275803;12.10210609;12.1945734
1.57E+01;328;2.00E-04;9.76E-01;1.03E+00;-3.89E+00;3.80E+00;1.21E+01;11.98250866;12.05451107;12.29881001;12.33268356
1.57E+01;328;2.00E-04;1.13E+00;1.33E+00;-3.37E+00;3.45E+00;1.22E+01;12.10551453;12.11476326;12.50119305;12.51006699
1.57E+01;328;2.00E-04;1.29E+00;1.60E+00;-2.60E+00;2.85E+00;1.23E+01;12.22852802;12.22827435;12.72258568;12.79469013
1.57E+01;328;2.00E-04;1.42E+00;1.84E+00;-1.86E+00;2.24E+00;1.24E+01;12.35426712;12.34200954;12.93905354;12.92013073
1.57E+01;328;2.00E-04;1.55E+00;2.05E+00;-1.30E+00;1.78E+00;1.25E+01;12.4944973;12.49174595;13.00462627;13.01648617
1.57E+01;328;2.00E-04;1.66E+00;2.28E+00;-9.53E-01;1.56E+00;1.26E+01;12.5887413;12.58374023;13.20050144;13.19887447
1.57E+01;328;2.00E-04;1.77E+00;2.40E+00;-6.96E-01;1.33E+00;1.28E+01;12.74147034;12.77821636;13.32931995;13.32605553
1.57E+01;328;2.00E-04;1.88E+00;2.58E+00;-5.11E-01;1.21E+00;1.29E+01;12.89148712;12.92874146;13.52857304;13.44842625
1.57E+01;328;2.00E-04;2.00E+00;2.81E+00;-3.39E-01;1.16E+00;1.30E+01;13.00200367;13.02400112;13.56925678;13.4886322
1.57E+01;328;2.00E-04;2.12E+00;2.94E+00;-1.79E-01;1.01E+00;1.31E+01;13.10000324;13.17499828;13.71112823;13.69730949
1.57E+01;328;2.00E-04;2.26E+00;3.19E+00;-3.69E-02;9.93E-01;1.32E+01;13.17774487;13.27572632;13.85350513;13.85713577
1.57E+01;328;2.00E-04;2.40E+00;3.35E+00;1.05E-01;8.74E-01;1.33E+01;13.34021759;13.42245579;13.86629391;13.87327099
1.57E+01;328;2.00E-04;2.54E+00;3.56E+00;2.39E-01;8.11E-01;1.34E+01;13.4972229;13.60948467;13.97375011;13.92652893
1.57E+01;328;2.00E-04;2.69E+00;3.84E+00;3.64E-01;8.21E-01;1.36E+01;13.68124485;13.74875355;13.94212151;13.92560959
1.57E+01;328;2.00E-04;2.84E+00;4.01E+00;4.95E-01;7.11E-01;1.37E+01;13.80099106;13.91797733;13.9967804;13.99166393
1.57E+01;328;2.00E-04;3.00E+00;4.31E+00;6.05E-01;7.48E-01;1.38E+01;13.85648918;13.92547703;13.99724579;13.9907341
1.57E+01;328;2.00E-04;3.15E+00;4.50E+00;7.36E-01;6.55E-01;1.39E+01;13.90497589;13.84296227;13.9879427;13.98515224
1.57E+01;333;2.00E-04;3.13E-02;-5.33E-02;-2.07E-01;1.22E-01;1.01E+01;10.17050457;10.17050171;10.20506763;10.23561478
1.57E+01;333;2.00E-04;3.70E-02;-7.05E-02;-2.66E-01;1.58E-01;1.02E+01;10.3025322;10.30878353;10.28298664;10.31067944
1.57E+01;333;2.00E-04;4.43E-02;-9.16E-02;-3.43E-01;2.06E-01;1.03E+01;10.39500809;10.42199802;10.43070698;10.42136478
1.57E+01;333;2.00E-04;5.39E-02;-1.16E-01;-4.39E-01;2.68E-01;1.05E+01;10.59097862;10.62597656;10.58011532;10.53612137
1.57E+01;333;2.00E-04;6.64E-02;-1.45E-01;-5.61E-01;3.48E-01;1.06E+01;10.68547726;10.70323277;10.67371559;10.62887478
1.57E+01;333;2.00E-04;8.25E-02;-1.76E-01;-7.12E-01;4.51E-01;1.07E+01;10.73899174;10.75749874;10.82700634;10.77517414
1.57E+01;333;2.00E-04;1.03E-01;-2.06E-01;-8.99E-01;5.83E-01;1.08E+01;10.8267765;10.89202881;10.95191479;10.91363144
1.57E+01;333;2.00E-04;1.30E-01;-2.36E-01;-1.13E+00;7.52E-01;1.09E+01;11.00378132;11.03427982;11.02405643;11.08455849
1.57E+01;333;2.00E-04;1.65E-01;-2.57E-01;-1.41E+00;9.73E-01;1.10E+01;11.12699795;11.15124035;11.10293293;11.15135193
1.57E+01;333;2.00E-04;2.09E-01;-3.01E-01;-1.74E+00;1.20E+00;1.11E+01;11.18273544;11.22498322;11.25279713;11.28038406
1.57E+01;333;2.00E-04;2.65E-01;-2.37E-01;-2.10E+00;1.57E+00;1.13E+01;11.29049683;11.29324245;11.3174448;11.36579514
1.57E+01;333;2.00E-04;3.36E-01;-1.56E-01;-2.50E+00;1.96E+00;1.14E+01;11.44102573;11.44576836;11.38605785;11.50569725
1.57E+01;333;2.00E-04;4.24E-01;-6.83E-02;-2.94E+00;2.37E+00;1.15E+01;11.61578465;11.61877823;11.48006248;11.64273739
1.57E+01;333;2.00E-04;5.32E-01;1.24E-01;-3.36E+00;2.85E+00;1.16E+01;11.75176716;11.7275238;11.66906548;11.76081944
1.57E+01;333;2.00E-04;6.59E-01;4.09E-01;-3.71E+00;3.34E+00;1.17E+01;11.83300495;11.82275772;11.79397488;11.84468269
1.57E+01;333;2.00E-04;8.06E-01;6.60E-01;-3.97E+00;3.68E+00;1.18E+01;11.84825516;11.87550449;11.86328506;11.98198891
1.57E+01;333;2.00E-04;9.69E-01;1.02E+00;-4.03E+00;3.92E+00;1.20E+01;11.93525696;12.00300884;12.09815407;12.14280319
1.57E+01;333;2.00E-04;1.14E+00;1.35E+00;-3.81E+00;3.87E+00;1.21E+01;12.01401043;12.06851101;12.25764942;12.26550388
1.57E+01;333;2.00E-04;1.31E+00;1.66E+00;-3.23E+00;3.47E+00;1.22E+01;12.11550903;12.1090107;12.4662981;12.49863434
1.57E+01;333;2.00E-04;1.47E+00;1.94E+00;-2.45E+00;2.85E+00;1.23E+01;12.27927685;12.24202156;12.72027493;12.720891
1.57E+01;333;2.00E-04;1.62E+00;2.18E+00;-1.70E+00;2.23E+00;1.24E+01;12.40450668;12.38701153;12.82646751;12.84437561
1.57E+01;333;2.00E-04;1.75E+00;2.39E+00;-1.17E+00;1.80E+00;1.25E+01;12.51774025;12.50724697;13.00578499;13.00229549
1.57E+01;333;2.00E-04;1.86E+00;2.57E+00;-8.19E-01;1.53E+00;1.26E+01;12.60749245;12.60623646;13.04556847;13.04719448
1.57E+01;333;2.00E-04;1.98E+00;2.75E+00;-5.65E-01;1.34E+00;1.28E+01;12.71872902;12.75671959;13.21724606;13.22607899
1.57E+01;333;2.00E-04;2.09E+00;2.97E+00;-3.81E-01;1.28E+00;1.29E+01;12.83346558;12.85045624;13.3335104;13.33094883
1.57E+01;333;2.00E-04;2.21E+00;3.11E+00;-2.08E-01;1.12E+00;1.30E+01;13.01951027;13.07326031;13.40277863;13.34350681
1.57E+01;333;2.00E-04;2.35E+00;3.31E+00;-5.24E-02;1.04E+00;1.31E+01;13.10300255;13.20424747;13.52460194;13.53367329
1.57E+01;333;2.00E-04;2.49E+00;3.57E+00;9.63E-02;1.02E+00;1.32E+01;13.31822014;13.36946583;13.7681179;13.77439976
1.57E+01;333;2.00E-04;2.64E+00;3.74E+00;2.46E-01;8.87E-01;1.33E+01;13.45546913;13.52646065;13.80117321;13.80047417
1.57E+01;333;2.00E-04;2.79E+00;4.02E+00;3.75E-01;8.93E-01;1.34E+01;13.66349506;13.74626446;13.90420723;13.81931305
1.57E+01;333;2.00E-04;2.95E+00;4.20E+00;5.10E-01;7.86E-01;1.36E+01;13.77424526;13.88948536;13.99910545;13.99771118
1.57E+01;333;2.00E-04;3.11E+00;4.45E+00;6.33E-01;7.48E-01;1.37E+01;13.82924175;13.82372856;13.99026775;13.98933792
1.57E+01;333;2.00E-04;3.28E+00;4.76E+00;7.55E-01;7.77E-01;1.38E+01;13.87847519;13.68796062;13.84887505;13.87049961
1.57E+01;333;2.00E-04;3.45E+00;4.96E+00;8.81E-01;6.92E-01;1.39E+01;13.91647053;13.68946266;13.86026764;13.87491894
1.57E+01;338;2.00E-04;3.55E-02;-4.56E-02;-2.08E-01;1.27E-01;1.01E+01;10.17350578;10.16874981;10.2062645;10.17398453
1.57E+01;338;2.00E-04;4.20E-02;-6.13E-02;-2.69E-01;1.65E-01;1.02E+01;10.29478359;10.29928207;10.28528309;10.27489376
1.57E+01;338;2.00E-04;5.04E-02;-7.97E-02;-3.46E-01;2.15E-01;1.03E+01;10.44975376;10.45549679;10.39806843;10.3852644
1.57E+01;338;2.00E-04;6.12E-02;-1.02E-01;-4.44E-01;2.79E-01;1.05E+01;10.66373444;10.68898296;10.61223316;10.54010773
1.57E+01;338;2.00E-04;7.53E-02;-1.27E-01;-5.66E-01;3.62E-01;1.06E+01;10.67522907;10.72222996;10.65953159;10.65186214
1.57E+01;338;2.00E-04;9.36E-02;-1.53E-01;-7.20E-01;4.69E-01;1.07E+01;10.7747488;10.77749538;10.82710648;10.78231335
1.57E+01;338;2.00E-04;1.17E-01;-1.79E-01;-9.09E-01;6.07E-01;1.08E+01;10.85502815;10.90777493;10.92891598;10.91633892
1.57E+01;338;2.00E-04;1.47E-01;-2.01E-01;-1.14E+00;7.87E-01;1.09E+01;10.97803307;11.00152969;11.03696918;11.0855751
1.57E+01;338;2.00E-04;1.86E-01;-2.54E-01;-1.43E+00;9.76E-01;1.10E+01;11.11550045;11.16649246;11.0999918;11.18445015
1.57E+01;338;2.00E-04;2.35E-01;-2.44E-01;-1.76E+00;1.26E+00;1.11E+01;11.17723942;11.18374157;11.20837784;11.26704884
1.57E+01;338;2.00E-04;2.98E-01;-1.62E-01;-2.13E+00;1.64E+00;1.13E+01;11.32900047;11.28749466;11.32884502;11.41810608
1.57E+01;338;2.00E-04;3.76E-01;-6.59E-02;-2.54E+00;2.05E+00;1.14E+01;11.43251991;11.43100834;11.42186737;11.52610874
1.57E+01;338;2.00E-04;4.72E-01;3.82E-02;-2.98E+00;2.47E+00;1.15E+01;11.63803482;11.63878345;11.54952431;11.66446018
1.57E+01;338;2.00E-04;5.88E-01;2.82E-01;-3.40E+00;2.99E+00;1.16E+01;11.76352024;11.75152016;11.70930004;11.7623539
1.57E+01;338;2.00E-04;7.25E-01;5.55E-01;-3.75E+00;3.45E+00;1.17E+01;11.83575726;11.82875347;11.82119179;11.90384483
1.57E+01;338;2.00E-04;8.82E-01;8.54E-01;-4.00E+00;3.82E+00;1.18E+01;11.91475201;11.9385004;11.94189548;11.98871899
1.57E+01;338;2.00E-04;1.05E+00;1.20E+00;-4.03E+00;4.02E+00;1.20E+01;11.94675636;12.00026131;12.09001064;12.15250874
1.57E+01;338;2.00E-04;1.23E+00;1.53E+00;-3.77E+00;3.92E+00;1.21E+01;12.01900768;12.06675911;12.30554962;12.30619621
1.57E+01;338;2.00E-04;1.41E+00;1.84E+00;-3.14E+00;3.48E+00;1.22E+01;12.15801048;12.14126587;12.49514866;12.50103951
1.57E+01;338;2.00E-04;1.57E+00;2.17E+00;-2.34E+00;2.88E+00;1.23E+01;12.30801678;12.25801945;12.74768639;12.73606777
1.57E+01;338;2.00E-04;1.72E+00;2.36E+00;-1.60E+00;2.22E+00;1.24E+01;12.40725422;12.38750744;12.97694016;12.96042919
1.57E+01;338;2.00E-04;1.85E+00;2.57E+00;-1.08E+00;1.80E+00;1.25E+01;12.54448986;12.52124405;13.02276897;13.00485516
1.57E+01;338;2.00E-04;1.97E+00;2.75E+00;-7.31E-01;1.52E+00;1.26E+01;12.66048622;12.67623138;13.19864273;13.20352459
1.57E+01;338;2.00E-04;2.08E+00;2.93E+00;-4.93E-01;1.36E+00;1.28E+01;12.81346512;12.83695412;13.31258678;13.29421902
1.57E+01;338;2.00E-04;2.19E+00;3.16E+00;-3.00E-01;1.28E+00;1.29E+01;12.9409914;12.94873142;13.4369545;13.3035183
1.57E+01;338;2.00E-04;2.32E+00;3.29E+00;-1.26E-01;1.12E+00;1.30E+01;13.06000614;13.11300278;13.50041199;13.49971485
1.57E+01;338;2.00E-04;2.45E+00;3.55E+00;2.60E-02;1.10E+00;1.31E+01;13.2934761;13.33747292;13.71205711;13.66553783
1.57E+01;338;2.00E-04;2.59E+00;3.71E+00;1.78E-01;9.71E-01;1.32E+01;13.38671875;13.40621662;13.70135498;13.70042419
1.57E+01;338;2.00E-04;2.75E+00;3.93E+00;3.23E-01;9.03E-01;1.33E+01;13.46997356;13.51921844;13.80163765;13.79512501
1.57E+01;338;2.00E-04;2.90E+00;4.22E+00;4.57E-01;9.08E-01;1.34E+01;13.72950459;13.82073879;13.99491882;13.99701214
1.57E+01;338;2.00E-04;3.07E+00;4.41E+00;5.97E-01;7.92E-01;1.36E+01;13.82074547;13.82023048;13.99166393;13.98724365
1.57E+01;338;2.00E-04;3.24E+00;4.72E+00;7.15E-01;8.26E-01;1.37E+01;13.87822723;13.74596214;13.8625946;13.97236061
1.57E+01;338;2.00E-04;3.41E+00;4.93E+00;8.55E-01;7.22E-01;1.38E+01;13.91571999;13.67595863;13.85282707;13.87003422
1.57E+01;338;2.00E-04;3.58E+00;5.25E+00;9.63E-01;7.78E-01;1.39E+01;13.91047192;13.67646599;13.38537598;13.51049519
1.68E+01;293;2.00E-04;-9.85E-01;-1.13E+00;-1.25E-01;-1.96E-02;1.01E+01;10.18850231;10.17675495;10.22415447;10.23976707
1.68E+01;293;2.00E-04;-1.25E+00;-1.44E+00;-1.59E-01;-2.51E-02;1.02E+01;10.2330122;10.22350979;10.32836437;10.34459209
1.68E+01;293;2.00E-04;-1.58E+00;-1.82E+00;-2.01E-01;-3.18E-02;1.03E+01;10.30153275;10.30153275;10.45864296;10.47419739
1.68E+01;293;2.00E-04;-1.99E+00;-2.29E+00;-2.54E-01;-3.79E-02;1.05E+01;10.49496555;10.49121761;10.58257008;10.59584236
1.68E+01;293;2.00E-04;-2.48E+00;-2.85E+00;-3.21E-01;-4.30E-02;1.06E+01;10.62547493;10.62547112;10.71043777;10.71635628
1.68E+01;293;2.00E-04;-3.07E+00;-3.53E+00;-4.00E-01;-4.92E-02;1.07E+01;10.69472885;10.69297791;10.79161453;10.82254601
1.68E+01;293;2.00E-04;-3.74E+00;-4.31E+00;-4.90E-01;-5.69E-02;1.08E+01;10.79852962;10.80027866;10.91463566;10.94705772
1.68E+01;293;2.00E-04;-4.51E+00;-5.20E+00;-5.92E-01;-6.64E-02;1.09E+01;10.94528294;10.9370327;11.0295248;11.05700874
1.68E+01;293;2.00E-04;-5.36E+00;-6.19E+00;-7.04E-01;-7.78E-02;1.10E+01;11.0432663;11.03802204;11.18673706;11.20208549
1.68E+01;293;2.00E-04;-6.27E+00;-7.25E+00;-8.24E-01;-9.19E-02;1.11E+01;11.1879797;11.18998051;11.25373363;11.26766396
1.68E+01;293;2.00E-04;-7.22E+00;-8.36E+00;-9.50E-01;-1.09E-01;1.13E+01;11.19797993;11.21423149;11.34978199;11.38497543
1.68E+01;293;2.00E-04;-8.18E+00;-9.54E+00;-1.08E+00;-1.76E-01;1.14E+01;11.30074883;11.30149841;11.48650169;11.51679516
1.68E+01;293;2.00E-04;-9.14E+00;-1.07E+01;-1.20E+00;-2.04E-01;1.15E+01;11.40551567;11.41451359;11.68696785;11.69674683
1.68E+01;293;2.00E-04;-1.01E+01;-1.18E+01;-1.33E+00;-2.32E-01;1.16E+01;11.51328754;11.53603458;11.79422474;11.80073643
1.68E+01;293;2.00E-04;-1.09E+01;-1.29E+01;-1.47E+00;-2.49E-01;1.17E+01;11.70777798;11.72977543;11.91097355;11.96404934
1.68E+01;293;2.00E-04;-1.18E+01;-1.39E+01;-1.62E+00;-2.65E-01;1.18E+01;11.80525303;11.8170023;12.04979324;12.07501602
1.68E+01;293;2.00E-04;-1.26E+01;-1.49E+01;-1.76E+00;-2.85E-01;1.20E+01;11.97799492;12.00099659;12.21370125;12.23322201
1.68E+01;293;2.00E-04;-1.34E+01;-1.59E+01;-1.91E+00;-3.12E-01;1.21E+01;12.02449894;12.06200981;12.30089569;12.33297443
1.68E+01;293;2.00E-04;-1.42E+01;-1.70E+01;-2.06E+00;-3.88E-01;1.22E+01;12.19678497;12.22378159;12.47816467;12.50165844
1.68E+01;293;2.00E-04;-1.51E+01;-1.80E+01;-2.22E+00;-3.67E-01;1.23E+01;12.30651855;12.35925865;12.56073475;12.59492207
1.68E+01;293;2.00E-04;-1.59E+01;-1.92E+01;-2.40E+00;-3.79E-01;1.24E+01;12.34901237;12.44949913;12.71653938;12.75303936
1.68E+01;293;2.00E-04;-1.69E+01;-2.04E+01;-2.58E+00;-4.05E-01;1.25E+01;12.55899334;12.564744;12.79483795;12.8513031
1.68E+01;293;2.00E-04;-1.78E+01;-2.17E+01;-2.75E+00;-5.02E-01;1.26E+01;12.67572975;12.70422935;12.84553337;12.93481064
