Name I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph rmsre 
MEAN 3.46159E-05 6.09216E+00 2.19158E+04 6.71648E-05 2.50783E+00 4.83207E+03 8.12931E+01 1.90810E-03 3.32500E-01
MEDIAN 6.48195E-06 5.11255E+00 1.13697E+03 5.54289E-05 1.99172E+00 3.10085E+03 3.25107E+01 1.15795E-03 3.30132E-01
STD 7.76808E-05 3.80964E+00 9.53276E+04 3.25963E-05 1.60899E+00 7.24854E+03 1.03942E+02 5.16092E-03 1.65294E-01
IQR 1.83053E-05 3.87415E+00 2.30838E+03 2.73442E-05 1.84917E+00 9.81403E+02 1.28220E+02 1.95082E-04 2.54569E-01
EBLSHADE % % % % % % % % %
MEAN 1.30826E-05 4.85036E+00 1.48021E+04 5.33603E-05 2.40127E+00 3.10172E+03 8.61806E+01 1.05495E-03 1.38395E-01
MEDIAN 1.39459E-05 5.62019E+00 5.60258E+03 5.66979E-05 2.71612E+00 3.23758E+03 4.22780E+01 9.99182E-04 9.97064E-02
STD 2.41108E-05 2.18769E+00 4.26434E+04 6.94163E-06 5.83161E-01 2.39924E+02 8.03303E+01 8.83941E-05 9.92945E-02
IQR 1.44295E-05 2.39489E+00 8.52726E+03 6.87811E-06 5.03367E-01 2.53025E+02 7.17242E+01 1.17236E-04 1.23223E-02
ADELI % % % % % % % % %
MEAN 1.50007E-05 5.71149E+00 1.00012E+04 5.67193E-05 2.72414E+00 3.23917E+03 3.99991E+01 9.89998E-04 9.95037E-02
MEDIAN 1.50007E-05 5.71149E+00 1.00012E+04 5.67193E-05 2.72414E+00 3.23917E+03 3.99991E+01 9.89998E-04 9.95037E-02
STD 3.39977E-14 2.89381E-09 3.79566E-05 4.40143E-15 3.25396E-10 3.21491E-12 7.17403E-08 5.82759E-14 0.00000E+00
IQR 4.50000E-14 4.50000E-09 5.00000E-05 5.00000E-15 0.00000E+00 0.00000E+00 1.10000E-07 1.00000E-13 0.00000E+00
NDE % % % % % % % % %
MEAN 1.58693E-05 5.93582E+00 3.26967E+04 9.19756E-05 4.06791E+00 9.83853E+03 8.59774E+01 4.75296E-03 3.98666E-01
MEDIAN 1.02402E-05 5.51328E+00 7.23087E+03 5.67175E-05 2.72357E+00 3.23868E+03 4.09017E+01 1.00029E-03 1.02070E-01
STD 5.46032E-05 4.99782E+00 1.43416E+05 8.80024E-05 3.93737E+00 1.44569E+04 1.06084E+02 1.20467E-02 3.66697E-01
IQR 1.44796E-05 1.81800E+00 9.63269E+03 4.18079E-05 9.82699E-01 2.05120E+03 3.58207E+01 1.54216E-03 5.76480E-01
MABC % % % % % % % % %
MEAN 7.01581E-05 1.07377E+01 7.75671E+03 7.08918E-05 2.18311E+00 4.67703E+03 1.36832E+02 3.57349E-03 4.84575E-01
MEDIAN 1.15925E-05 7.28004E+00 6.40583E+02 5.04565E-05 1.19481E+00 2.71026E+03 3.48521E+01 1.18108E-03 5.20898E-01
STD 1.56622E-04 8.52624E+00 2.91632E+04 5.91263E-05 2.99809E+00 6.50252E+03 1.59505E+02 7.09046E-03 2.25041E-01
IQR 7.31985E-05 1.12969E+01 9.98146E+02 3.85287E-05 2.23323E+00 1.51067E+03 2.31349E+02 1.38120E-03 3.80873E-01
TLBO % % % % % % % % %
MEAN 1.54137E-05 5.73941E+00 2.55179E+04 5.67237E-05 2.72523E+00 3.23963E+03 3.93612E+01 9.89632E-04 9.95041E-02
MEDIAN 1.50007E-05 5.71149E+00 1.00012E+04 5.67193E-05 2.72414E+00 3.23917E+03 3.99991E+01 9.89998E-04 9.95037E-02
STD 2.18704E-06 1.57524E-01 1.00694E+05 1.88543E-08 6.14267E-03 2.47913E+00 3.69459E+00 2.23989E-06 1.70469E-06
IQR 5.50000E-14 5.00000E-09 6.00000E-05 1.00000E-14 1.00000E-09 0.00000E+00 1.45000E-07 1.00000E-13 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 1.66251E-04 1.09387E+01 1.30215E+04 1.26431E-04 5.70596E+00 1.15678E+04 1.21993E+02 1.80467E-02 7.97421E-01
MEDIAN 2.96412E-05 6.50236E+00 5.39677E+02 1.20935E-04 4.70210E+00 5.70257E+03 2.35265E+01 4.30726E-03 8.63220E-01
STD 2.69063E-04 8.93296E+00 3.44522E+04 8.21815E-05 4.62093E+00 1.38655E+04 1.78454E+02 2.60908E-02 2.69993E-01
IQR 2.53190E-04 1.52243E+01 2.25961E+03 1.49658E-04 8.61052E+00 8.73759E+03 1.66739E+02 2.42244E-02 3.11135E-01
STLBO % % % % % % % % %
MEAN 1.50007E-05 5.71149E+00 1.00012E+04 5.67193E-05 2.72414E+00 3.23917E+03 3.99991E+01 9.89998E-04 9.95037E-02
MEDIAN 1.50007E-05 5.71149E+00 1.00012E+04 5.67193E-05 2.72414E+00 3.23917E+03 3.99991E+01 9.89998E-04 9.95037E-02
STD 4.68347E-14 3.89338E-09 5.26118E-05 4.40143E-15 3.47540E-10 3.21491E-12 1.00269E-07 6.72718E-14 0.00000E+00
IQR 7.50000E-14 6.00000E-09 7.00000E-05 5.00000E-15 0.00000E+00 0.00000E+00 1.60000E-07 1.00000E-13 0.00000E+00
PSO % % % % % % % % %
MEAN 5.51686E-04 1.67256E+01 3.70327E+05 1.20269E-04 2.71825E+00 9.83965E+03 3.16996E+02 4.33233E-02 5.35518E-01
MEDIAN 8.26755E-04 1.04606E+01 4.46531E+02 5.06697E-05 5.00000E-01 2.43531E+03 3.96603E+02 5.98563E-02 6.60803E-01
STD 4.75206E-04 1.18695E+01 4.85199E+05 1.72785E-04 6.04477E+00 1.75085E+04 2.61133E+02 3.89563E-02 2.63606E-01
IQR 1.00000E-03 2.42036E+01 9.99990E+05 3.47754E-06 1.65118E+00 5.89695E+02 5.39438E+02 6.62238E-02 4.55138E-01
IJAYA % % % % % % % % %
MEAN 1.53256E-05 5.57217E+00 6.45141E+04 5.78551E-05 2.84898E+00 3.29560E+03 2.54323E+01 1.00624E-03 1.02239E-01
MEDIAN 1.19927E-05 5.55220E+00 5.46455E+03 5.71774E-05 2.84170E+00 3.28778E+03 1.58175E+01 1.00069E-03 9.99281E-02
STD 1.08122E-05 9.61495E-01 1.75253E+05 3.24031E-06 1.70219E-01 1.13570E+02 2.69828E+01 2.23760E-05 5.77843E-03
IQR 1.39318E-05 1.27108E+00 7.32249E+03 1.37186E-06 2.20054E-01 8.11578E+01 4.67049E+01 2.48365E-05 1.37587E-03
ISCA % % % % % % % % %
MEAN 1.88352E-04 1.02924E+01 5.06431E+04 1.51169E-04 7.41483E+00 1.25388E+04 5.27692E+01 1.03213E-02 9.01972E-01
MEDIAN 9.07772E-05 9.01795E+00 2.04181E+03 1.52257E-04 7.14392E+00 5.45077E+03 1.10823E+01 2.17614E-03 9.71728E-01
STD 2.59465E-04 6.07831E+00 1.49793E+05 1.04137E-04 4.94714E+00 1.27191E+04 9.37927E+01 1.70780E-02 3.59380E-01
IQR 2.09978E-04 1.01167E+01 1.25254E+04 1.60292E-04 8.67436E+00 1.91588E+04 5.99782E+01 1.11238E-02 5.64833E-01
NNA % % % % % % % % %
MEAN 8.20655E-05 1.46746E+01 2.39911E+04 2.05795E-04 1.19841E+01 5.04294E+03 8.92972E+01 1.94127E-02 5.96072E-01
MEDIAN 9.63328E-07 1.23790E+01 2.05760E+02 5.51447E-05 1.04436E+01 1.31096E+03 1.16984E+01 5.67027E-03 3.90102E-01
STD 1.58362E-04 9.20329E+00 9.42769E+04 4.20445E-04 9.72885E+00 1.16526E+04 1.57603E+02 2.55543E-02 4.30474E-01
IQR 6.82542E-05 1.60415E+01 7.11520E+02 2.19951E-04 1.54278E+01 2.16621E+03 1.03763E+02 2.87548E-02 6.38341E-01
CWOA % % % % % % % % %
MEAN 4.45003E-04 1.31055E+01 2.52782E+05 8.63963E-04 1.48260E+01 2.25333E+04 1.74406E+02 2.75758E-02 5.47280E-01
MEDIAN 5.34909E-05 1.05113E+01 7.43261E+02 1.77091E-04 1.26578E+01 9.92153E+03 1.46206E+01 7.43876E-03 5.61402E-01
STD 4.83552E-04 9.70182E+00 4.11586E+05 2.34060E-03 1.02865E+01 2.31948E+04 2.28218E+02 3.62627E-02 3.43019E-01
IQR 9.99961E-04 1.59179E+01 4.78801E+05 5.36351E-04 1.90108E+01 4.94168E+04 3.41167E+02 3.38596E-02 6.10151E-01
WW % % % % % % % % %
MEAN 2.37351E-04 1.10534E+01 4.47609E+04 1.77288E-04 7.87023E+00 1.66819E+04 1.10611E+02 2.44292E-02 8.00307E-01
MEDIAN 1.99805E-05 7.52472E+00 4.43570E+02 6.75913E-05 5.60803E+00 2.81063E+03 5.08511E+01 5.88068E-03 8.05164E-01
STD 3.53358E-04 8.94998E+00 1.95926E+05 2.50230E-04 7.65259E+00 2.11348E+04 1.52380E+02 2.93859E-02 3.39355E-01
IQR 3.83407E-04 1.19207E+01 1.79089E+03 1.94079E-04 1.09393E+01 4.81191E+04 1.45186E+02 4.89611E-02 5.48539E-01
% % % % % T=300 % % % %
true_value 1.50000E-05 5.52105E+00 1.00000E+04 9.66582E-05 2.66667E+00 2.11460E+03 5.00000E+01 1.00000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 3.51965E-05 5.50271E+00 2.99166E+04 1.53375E-04 3.42276E+00 6.24026E+03 9.19256E+01 1.27377E-03 3.23885E-01
MEDIAN 3.10794E-06 4.27872E+00 1.70806E+03 1.17255E-04 2.31232E+00 2.20501E+03 2.69548E+01 1.09209E-03 2.73994E-01
STD 9.18538E-05 4.00276E+00 8.48576E+04 7.64279E-05 2.61184E+00 8.85376E+03 1.23941E+02 9.61325E-04 1.87727E-01
IQR 2.23260E-05 4.14692E+00 4.98422E+03 1.15996E-04 4.64682E+00 3.55642E+03 1.26080E+02 1.64768E-04 2.86723E-01
EBLSHADE % % % % % % % % %
MEAN 2.89803E-05 5.58048E+00 3.60037E+04 9.67198E-05 2.42509E+00 2.16960E+03 8.19111E+01 1.06391E-03 1.51261E-01
MEDIAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
STD 8.05950E-05 3.25435E+00 1.49287E+05 2.30722E-05 8.56891E-01 1.07032E+03 7.94635E+01 2.06469E-04 1.45148E-01
IQR 4.55628E-06 3.63684E-01 5.79534E+03 4.92001E-06 4.10559E-01 2.30690E+02 1.30276E+01 1.85992E-05 1.26108E-02
ADELI % % % % % % % % %
MEAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
MEDIAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
STD 3.96781E-14 3.12523E-09 4.23079E-05 3.25395E-15 4.15390E-10 1.83709E-12 8.87300E-08 5.32106E-14 1.40159E-17
IQR 6.50000E-14 5.00000E-09 6.00000E-05 0.00000E+00 0.00000E+00 0.00000E+00 1.35000E-07 9.99999E-14 0.00000E+00
NDE % % % % % % % % %
MEAN 4.82497E-05 6.59966E+00 4.46612E+04 1.47570E-04 4.58182E+00 6.25574E+03 8.39660E+01 2.54601E-03 3.48055E-01
MEDIAN 1.50047E-05 5.52143E+00 9.88441E+03 9.66584E-05 2.66669E+00 2.11460E+03 4.99907E+01 1.00148E-03 9.95052E-02
STD 1.30992E-04 5.27294E+00 1.84293E+05 1.33767E-04 4.80092E+00 1.07478E+04 9.34517E+01 3.89367E-03 4.56456E-01
IQR 8.76603E-06 3.54898E-01 6.23858E+03 1.32674E-06 2.86598E-01 8.04543E+00 1.25602E+01 6.81420E-04 4.22018E-01
MABC % % % % % % % % %
MEAN 6.94090E-05 8.71378E+00 1.84343E+03 1.44709E-04 2.46263E+00 5.11243E+03 1.84834E+02 8.41390E-03 6.14680E-01
MEDIAN 3.57725E-06 5.74748E+00 5.18707E+02 1.11707E-04 8.93544E-01 1.86541E+03 9.36889E+01 1.50237E-03 6.98864E-01
STD 1.50035E-04 6.92668E+00 4.64035E+03 1.00540E-04 3.26196E+00 8.10759E+03 1.82721E+02 1.61845E-02 2.76627E-01
IQR 6.92923E-05 8.77817E+00 1.04964E+03 6.81027E-05 2.67293E+00 1.68079E+03 3.20176E+02 3.24728E-03 3.73436E-01
TLBO % % % % % % % % %
MEAN 1.53432E-05 5.54448E+00 2.14158E+04 9.66637E-05 2.66825E+00 2.11506E+03 4.93823E+01 9.99700E-04 9.95042E-02
MEDIAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
STD 1.86055E-06 1.26401E-01 7.99545E+04 3.13636E-08 8.70698E-03 2.57147E+00 3.34853E+00 1.59853E-06 2.66395E-06
IQR 6.50000E-14 5.50000E-09 7.00000E-05 0.00000E+00 1.00000E-09 0.00000E+00 1.55000E-07 9.99999E-14 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 2.03177E-04 1.12720E+01 3.11353E+04 2.20241E-04 5.42039E+00 9.19891E+03 1.62162E+02 1.67984E-02 8.09807E-01
MEDIAN 8.74259E-05 1.09652E+01 5.27834E+02 2.15163E-04 3.17672E+00 4.08508E+03 5.68037E+01 2.44336E-03 8.48772E-01
STD 2.83682E-04 6.76314E+00 1.02605E+05 1.50741E-04 5.71032E+00 1.26659E+04 1.93759E+02 2.67072E-02 2.25369E-01
IQR 2.64320E-04 9.80581E+00 4.18183E+03 1.92999E-04 8.66259E+00 7.68620E+03 2.88298E+02 1.39422E-02 1.97709E-01
STLBO % % % % % % % % %
MEAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
MEDIAN 1.50047E-05 5.52143E+00 1.00057E+04 9.66584E-05 2.66669E+00 2.11460E+03 4.99906E+01 9.99993E-04 9.95037E-02
STD 3.80041E-14 3.01967E-09 3.80351E-05 5.27666E-15 5.01762E-10 1.83709E-12 9.57435E-08 5.02542E-14 1.40159E-17
IQR 5.00000E-14 4.00000E-09 5.00000E-05 0.00000E+00 1.00000E-09 0.00000E+00 1.40000E-07 9.99999E-14 0.00000E+00
PSO % % % % % % % % %
MEAN 4.99841E-04 1.65583E+01 5.86175E+05 1.33541E-04 3.66979E+00 1.00155E+04 2.63100E+02 3.70550E-02 6.66922E-01
MEDIAN 3.46468E-04 1.04476E+01 1.00000E+06 1.09294E-04 5.00000E-01 1.53484E+03 1.10413E+02 1.50444E-03 8.08031E-01
STD 4.85677E-04 1.28935E+01 4.94943E+05 1.33073E-04 8.00745E+00 1.86978E+04 2.55971E+02 4.24542E-02 2.29116E-01
IQR 1.00000E-03 2.57803E+01 9.99581E+05 2.45142E-05 1.96857E+00 2.79560E+02 5.37096E+02 7.10609E-02 2.75491E-01
IJAYA % % % % % % % % %
MEAN 1.39583E-05 5.16215E+00 3.40167E+04 9.90186E-05 2.82302E+00 2.17471E+03 4.11632E+01 1.02105E-03 1.07285E-01
MEDIAN 9.64908E-06 5.07492E+00 5.00575E+03 9.86551E-05 2.85924E+00 2.16722E+03 2.82659E+01 1.01070E-03 1.00395E-01
STD 1.09228E-05 1.12643E+00 1.02314E+05 1.22530E-05 4.63833E-01 1.69646E+02 4.28823E+01 3.55346E-05 3.84984E-02
IQR 1.75392E-05 1.67109E+00 1.60320E+04 3.63271E-06 3.50526E-01 9.28388E+01 5.43289E+01 3.53854E-05 3.02838E-03
ISCA % % % % % % % % %
MEAN 2.68071E-04 8.26372E+00 1.05802E+05 2.98667E-04 9.83589E+00 1.19223E+04 8.74530E+01 1.63487E-02 8.78696E-01
MEDIAN 1.26977E-04 6.57343E+00 7.89350E+03 2.72764E-04 8.46807E+00 4.29228E+03 1.66668E+01 2.28548E-03 9.12351E-01
STD 3.00015E-04 4.87900E+00 2.28831E+05 2.21605E-04 7.24243E+00 1.38656E+04 1.37925E+02 2.52095E-02 2.94374E-01
IQR 5.20150E-04 6.25902E+00 1.00183E+05 3.56002E-04 1.09203E+01 1.64469E+04 9.09044E+01 1.40251E-02 3.10670E-01
NNA % % % % % % % % %
MEAN 7.29041E-05 1.03187E+01 5.23172E+04 2.47645E-04 1.36773E+01 5.69996E+03 8.82562E+01 1.95798E-02 7.48232E-01
MEDIAN 5.69582E-07 6.86258E+00 3.42842E+02 7.70737E-05 1.18282E+01 9.76485E+02 1.34118E+01 9.03104E-03 7.48111E-01
STD 2.01509E-04 8.74179E+00 1.68414E+05 4.06486E-04 9.47471E+00 1.18583E+04 1.46120E+02 2.25199E-02 3.21327E-01
IQR 7.21391E-06 1.30264E+01 2.28832E+03 3.11029E-04 1.43017E+01 2.82092E+03 9.48686E+01 2.68469E-02 6.18640E-01
CWOA % % % % % % % % %
MEAN 2.90205E-04 1.41316E+01 1.35669E+05 7.80121E-04 1.37397E+01 1.92959E+04 1.81484E+02 2.36425E-02 6.60415E-01
MEDIAN 2.29921E-06 1.22522E+01 5.67376E+02 2.73938E-04 1.30797E+01 3.57410E+03 2.24290E+01 4.45749E-03 7.43557E-01
STD 4.29717E-04 1.07750E+01 2.92205E+05 1.96319E-03 9.94002E+00 2.30073E+04 2.37135E+02 3.34828E-02 2.92262E-01
IQR 7.75671E-04 2.25030E+01 7.84951E+04 6.06509E-04 1.95166E+01 4.96717E+04 3.90461E+02 3.08310E-02 4.81705E-01
WW % % % % % % % % %
MEAN 2.51084E-04 1.31224E+01 1.01786E+05 3.12718E-04 1.02195E+01 1.81410E+04 1.04869E+02 1.87520E-02 8.27972E-01
MEDIAN 1.65052E-05 1.10316E+01 1.68236E+02 2.79606E-04 8.37853E+00 2.85763E+03 1.91177E+01 5.50126E-03 8.61913E-01
STD 3.51687E-04 9.35477E+00 2.81086E+05 2.51901E-04 8.42864E+00 2.16979E+04 1.68479E+02 2.62596E-02 2.42413E-01
IQR 4.60577E-04 1.61504E+01 5.09554E+03 3.74895E-04 1.34022E+01 4.86799E+04 1.15701E+02 2.44940E-02 2.70548E-01
% % % % % T=310 % % % %
true_value 1.50000E-05 5.34295E+00 1.00000E+04 1.59152E-04 2.61290E+00 1.41896E+03 6.00000E+01 1.01000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 5.27913E-05 5.83741E+00 1.08362E+04 2.97902E-04 4.24758E+00 1.14657E+04 8.02052E+01 1.17553E-03 4.17188E-01
MEDIAN 5.92881E-06 4.57997E+00 2.53709E+03 3.09783E-04 4.52646E+00 3.21489E+03 3.66747E+01 1.13575E-03 4.03099E-01
STD 1.46997E-04 3.93926E+00 2.64949E+04 1.21598E-04 2.45028E+00 1.66551E+04 9.46525E+01 1.63952E-04 2.10138E-01
IQR 3.59199E-05 3.71012E+00 5.06135E+03 2.14065E-04 3.92978E+00 9.16739E+03 1.14195E+02 1.80142E-04 3.29481E-01
EBLSHADE % % % % % % % % %
MEAN 2.03670E-05 4.78862E+00 5.79370E+03 1.87413E-04 2.54298E+00 3.70210E+03 1.17724E+02 1.21428E-03 1.94172E-01
MEDIAN 9.67504E-06 4.87001E+00 3.29031E+03 1.59151E-04 2.59268E+00 1.41864E+03 7.68485E+01 1.03836E-03 1.03575E-01
STD 4.21304E-05 2.60373E+00 5.98290E+03 8.13721E-05 1.48032E+00 8.53903E+03 9.62114E+01 8.94416E-04 1.90825E-01
IQR 1.47762E-05 2.51336E+00 8.27975E+03 2.33299E-05 1.18970E+00 2.20816E+02 9.47566E+01 1.17037E-04 1.05460E-01
ADELI % % % % % % % % %
MEAN 1.50078E-05 5.34355E+00 1.00089E+04 1.59151E-04 2.61295E+00 1.41897E+03 5.99840E+01 1.00999E-03 9.95037E-02
MEDIAN 1.50078E-05 5.34355E+00 1.00089E+04 1.59151E-04 2.61295E+00 1.41897E+03 5.99840E+01 1.00999E-03 9.95037E-02
STD 2.18820E-14 1.64496E-09 2.04786E-05 0.00000E+00 4.76095E-10 4.59272E-13 6.10734E-08 8.75992E-19 1.40159E-17
IQR 3.00000E-14 2.00000E-09 3.00000E-05 0.00000E+00 1.00000E-09 0.00000E+00 9.00000E-08 0.00000E+00 0.00000E+00
NDE % % % % % % % % %
MEAN 5.03624E-05 6.97618E+00 4.98906E+04 2.36249E-04 4.72704E+00 3.49302E+03 1.04350E+02 4.71088E-03 3.21355E-01
MEDIAN 1.50078E-05 5.34355E+00 6.77703E+03 1.59151E-04 2.61295E+00 1.41837E+03 5.99865E+01 1.01904E-03 9.95390E-02
STD 1.46708E-04 5.28828E+00 1.94859E+05 2.56322E-04 5.52670E+00 8.78848E+03 9.93430E+01 1.01918E-02 3.58313E-01
IQR 8.95872E-06 1.69619E+00 7.28780E+03 1.22426E-06 3.05234E-01 6.68075E+01 5.56161E+01 1.02304E-04 4.31138E-01
MABC % % % % % % % % %
MEAN 5.44973E-05 7.78116E+00 3.55852E+03 2.38094E-04 2.67344E+00 3.25170E+03 1.57267E+02 5.89561E-03 6.36940E-01
MEDIAN 1.76571E-06 4.58855E+00 6.35767E+02 1.95533E-04 7.67802E-01 1.11911E+03 9.53646E+01 1.30397E-03 6.69238E-01
STD 1.25503E-04 7.57886E+00 1.57680E+04 1.38735E-04 3.14519E+00 5.76172E+03 1.58093E+02 1.85983E-02 3.37739E-01
IQR 3.32981E-05 7.30264E+00 1.12514E+03 1.43949E-04 3.54424E+00 1.17214E+03 2.42287E+02 9.32032E-04 7.07899E-01
TLBO % % % % % % % % %
MEAN 1.56416E-05 5.38308E+00 2.86965E+04 1.59244E-04 2.62248E+00 1.42101E+03 5.84375E+01 1.00961E-03 9.95057E-02
MEDIAN 1.50078E-05 5.34355E+00 1.00089E+04 1.59151E-04 2.61295E+00 1.41897E+03 5.99840E+01 1.00999E-03 9.95037E-02
STD 3.34333E-06 2.06338E-01 1.25351E+05 6.16257E-07 5.73996E-02 1.22468E+01 8.56092E+00 1.89663E-06 1.07609E-05
IQR 4.00000E-14 3.00000E-09 3.00000E-05 0.00000E+00 1.00000E-09 0.00000E+00 8.00000E-08 0.00000E+00 0.00000E+00
GOTLBO % % % % % % % % %
MEAN 1.27436E-04 1.07688E+01 4.32346E+04 4.76334E-04 1.03070E+01 5.24197E+03 8.92025E+01 1.16586E-02 7.65122E-01
MEDIAN 2.25272E-06 8.84283E+00 6.69111E+02 3.91107E-04 9.52303E+00 1.93955E+03 1.45832E+01 1.87400E-03 8.73647E-01
STD 2.48715E-04 8.37863E+00 1.69878E+05 2.86765E-04 7.88097E+00 6.54736E+03 1.40132E+02 2.46066E-02 3.38118E-01
IQR 1.19829E-04 1.20362E+01 2.05705E+03 3.96603E-04 1.10699E+01 6.20911E+03 1.16335E+02 3.99547E-03 5.43553E-01
STLBO % % % % % % % % %
MEAN 1.50078E-05 5.34355E+00 1.00089E+04 1.59151E-04 2.61295E+00 1.41897E+03 5.99840E+01 1.00999E-03 9.95037E-02
MEDIAN 1.50078E-05 5.34355E+00 1.00089E+04 1.59151E-04 2.61295E+00 1.41897E+03 5.99840E+01 1.00999E-03 9.95037E-02
STD 3.22466E-14 2.57925E-09 2.97295E-05 0.00000E+00 6.00653E-10 3.00327E-07 9.20937E-08 8.75992E-19 1.40159E-17
IQR 4.00000E-14 3.00000E-09 4.00000E-05 0.00000E+00 1.00000E-09 0.00000E+00 1.15000E-07 0.00000E+00 0.00000E+00
PSO % % % % % % % % %
MEAN 3.58817E-04 1.30453E+01 4.69617E+05 4.51996E-04 6.61931E+00 5.84557E+03 2.97136E+02 4.17000E-02 6.90010E-01
MEDIAN 4.39423E-05 6.48566E+00 1.48109E+03 2.16223E-04 5.00000E-01 1.00695E+03 4.82017E+02 3.19353E-02 7.09783E-01
STD 4.50034E-04 1.19260E+01 4.99383E+05 1.39382E-03 1.11489E+01 1.47241E+04 2.61643E+02 4.06614E-02 3.52375E-01
IQR 1.00000E-03 2.58827E+01 9.99990E+05 7.59159E-05 5.24631E+00 4.28276E+02 5.26325E+02 6.49896E-02 7.72248E-01
IJAYA % % % % % % % % %
MEAN 1.72494E-05 5.15134E+00 5.28239E+04 1.76356E-04 3.13596E+00 1.60237E+03 3.65969E+01 1.03768E-03 1.15207E-01
MEDIAN 1.24809E-05 5.11996E+00 5.11879E+03 1.67617E-04 3.15428E+00 1.53277E+03 9.21597E+00 1.01903E-03 1.01439E-01
STD 1.99954E-05 1.46947E+00 1.58179E+05 3.23727E-05 8.90283E-01 3.22490E+02 6.22089E+01 7.01828E-05 5.84609E-02
IQR 1.94096E-05 1.79802E+00 9.23729E+03 1.87428E-05 5.93770E-01 1.77576E+02 3.57547E+01 3.49426E-05 5.82171E-03
ISCA % % % % % % % % %
MEAN 2.24319E-04 1.06260E+01 7.24301E+04 7.45896E-04 1.61161E+01 6.79780E+03 7.35759E+01 8.06081E-03 9.53550E-01
MEDIAN 1.44675E-04 8.77503E+00 3.99817E+03 5.45807E-04 1.61995E+01 2.07570E+03 1.29011E+01 2.15152E-03 9.80318E-01
STD 2.46235E-04 6.61245E+00 1.85597E+05 5.42216E-04 8.76032E+00 1.06816E+04 9.79728E+01 1.59653E-02 2.47794E-01
IQR 3.20991E-04 9.05965E+00 3.63221E+04 7.41526E-04 1.51740E+01 4.33502E+03 1.49216E+02 2.13848E-03 2.71945E-01
NNA % % % % % % % % %
MEAN 3.53673E-05 1.14526E+01 4.67456E+04 2.48647E-04 1.62427E+01 3.65305E+03 8.87110E+01 1.53823E-02 8.63015E-01
MEDIAN 2.63231E-07 8.97624E+00 3.43780E+02 1.01777E-05 1.46241E+01 5.46250E+02 4.19670E+00 3.84468E-03 7.07078E-01
STD 9.43393E-05 9.00525E+00 1.44633E+05 3.57340E-04 8.88477E+00 8.28385E+03 1.50249E+02 2.12076E-02 2.76059E-01
IQR 7.00772E-06 1.66556E+01 2.66049E+03 3.98779E-04 1.60798E+01 1.45594E+03 1.18683E+02 1.67959E-02 3.64503E-01
CWOA % % % % % % % % %
MEAN 4.42549E-04 1.23600E+01 1.60225E+05 1.29127E-03 1.48703E+01 1.63984E+04 2.39430E+02 3.45453E-02 8.23218E-01
MEDIAN 5.71073E-05 8.00318E+00 5.11507E+02 4.00117E-04 1.27622E+01 1.02316E+03 1.50944E+02 1.24945E-02 7.45968E-01
STD 4.85517E-04 9.95508E+00 3.36239E+05 2.45881E-03 1.15410E+01 2.22917E+04 2.25625E+02 3.83360E-02 2.24000E-01
IQR 9.99995E-04 1.23539E+01 3.88232E+04 1.27213E-03 2.44326E+01 4.97047E+04 4.73841E+02 6.15521E-02 2.83878E-01
WW % % % % % % % % %
MEAN 3.04057E-04 1.61944E+01 5.14322E+04 1.09441E-03 1.49717E+01 2.38136E+04 1.32634E+02 1.65234E-02 8.98584E-01
MEDIAN 5.43077E-05 1.38977E+01 3.52454E+02 7.85762E-04 1.34910E+01 5.76096E+03 2.62317E+01 3.69576E-03 8.90367E-01
STD 3.82272E-04 9.56841E+00 1.99483E+05 1.18760E-03 9.78946E+00 2.39948E+04 1.80861E+02 2.29666E-02 1.71250E-01
IQR 6.59899E-04 1.71357E+01 2.73118E+03 1.03855E-03 1.85467E+01 4.91248E+04 2.37493E+02 2.52921E-02 2.73300E-01
% % % % % T=320 % % % %
true_value 1.50000E-05 5.17598E+00 1.00000E+04 2.54008E-04 2.56250E+00 9.76205E+02 7.00000E+01 1.02000E-03 5.55000E+02
DE % % % % % % % % %
MEAN 7.26330E-05 6.85495E+00 9.71347E+03 5.11873E-04 6.80687E+00 7.12817E+03 7.77148E+01 1.25039E-03 5.51930E-01
MEDIAN 9.30567E-06 5.37535E+00 2.34236E+03 3.87326E-04 4.22513E+00 9.36575E+02 2.32693E+01 1.17770E-03 5.19937E-01
