  i	       x(um)	        y	      Ec(eV)	      Fn(eV)	      Fp(eV)	      Ev(eV)	     n(/cm3)	     p(/cm3)	rho(defect) (/cm3)	net doping (/cm3)	   rho(/cm3)	     E(V/cm)	  jn(mA/cm2)	  jp(mA/cm2)	  jn_tunnel(mA/cm2)	  jp_tunnel(mA/cm2)	jtot(mA/cm2)	 generation(#/cm3.s)	  recombination(#/cm3.s)	cumulative generation (mA/cm2)	cumulative recombination L to R (mA/cm2)	cumulative recombination R to L (mA/cm2)
  64	       7.324995	     0.94516061	     0.93935266	     0.45281122	    -0.00000058	    -0.15519748	   2.20339387e+12	   1.60388797e+17	   0.00000000e+00	  -1.60369598e+17	   1.69951367e+13	  -3.61810026e+02	  -1.61097560e+00	  -2.70692175e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.57362983e+19	    1.77567002e+16	   2.98181391e+01	    1.57187916e+00	    2.74526262e+00
  65	       7.407052	     0.95574869	     0.93647073	     0.45273788	    -0.00000062	    -0.15913104	   2.42463497e+12	   1.40273594e+17	   0.00000000e+00	  -1.40106862e+17	   1.64307303e+14	  -2.48708510e+02	  -1.65833308e+00	  -2.70218600e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.59365608e+19	    1.59333471e+16	   2.97710299e+01	    1.57190130e+00	    2.74524047e+00
  66	       7.475003	     0.96451652	     0.93535749	     0.45268124	    -0.00000065	    -0.16060150	   2.51350169e+12	   1.33419843e+17	   0.00000000e+00	  -1.33412510e+17	   4.81867499e+12	  -1.61340961e+02	  -1.69785577e+00	  -2.69823373e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.62300671e+19	    1.51473014e+16	   2.97317507e+01	    1.57191822e+00	    2.74522356e+00
  67	       7.530757	     0.97171055	     0.93446934	     0.45263595	    -0.00000068	    -0.16178274	   2.58672096e+12	   1.28157433e+17	   0.00000000e+00	  -1.28159358e+17	  -4.51142525e+12	  -1.61210730e+02	  -1.73056149e+00	  -2.69496316e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.64739974e+19	    1.45445147e+16	   2.96992820e+01	    1.57193148e+00	    2.74521030e+00
  68	       7.576109	     0.97756248	     0.93373116	     0.45259987	    -0.00000070	    -0.16275935	   2.64933889e+12	   1.23963802e+17	   0.00000000e+00	  -1.24039156e+17	  -7.80039968e+13	  -1.89660737e+02	  -1.75735711e+00	  -2.69228360e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.66745293e+19	    1.40647824e+16	   2.96727090e+01	    1.57194187e+00	    2.74519990e+00
  69	       7.612705	     0.98228453	     0.93295766	     0.45257137	    -0.00000072	    -0.16377516	   2.71744138e+12	   1.19747331e+17	   0.00000000e+00	  -1.19892420e+17	  -1.47806932e+14	  -2.52484320e+02	  -1.77910601e+00	  -2.69010871e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.68254873e+19	    1.35702290e+16	   2.96511638e+01	    1.57194997e+00	    2.74519180e+00
  70	       7.642016	     0.98606664	     0.93212105	     0.45254917	    -0.00000073	    -0.16488104	   2.79389163e+12	   1.15319857e+17	   0.00000000e+00	  -1.15337441e+17	  -2.03780013e+13	  -2.89961726e+02	  -1.79660401e+00	  -2.68835891e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.69287079e+19	    1.30367675e+16	   2.96338475e+01	    1.57195622e+00	    2.74518556e+00
  71	       7.665335	     0.98907548	     0.93143648	     0.45253198	    -0.00000075	    -0.16577983	   2.85814182e+12	   1.11842357e+17	   0.00000000e+00	  -1.11837676e+17	   1.82273451e+12	  -2.93251105e+02	  -1.81057272e+00	  -2.68696204e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.70112564e+19	    1.26194610e+16	   2.96200369e+01	    1.57196101e+00	    2.74518076e+00
  72	       7.683773	     0.99145463	     0.93089624	     0.45251869	    -0.00000076	    -0.16648946	   2.90991399e+12	   1.09170992e+17	   0.00000000e+00	  -1.09145682e+17	   2.23998361e+13	  -2.89855709e+02	  -1.82165000e+00	  -2.68585431e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.70768218e+19	    1.22995527e+16	   2.96090947e+01	    1.57196469e+00	    2.74517708e+00
  73	       7.698275	     0.99332583	     0.93047948	     0.45250841	    -0.00000076	    -0.16703944	   2.95049088e+12	   1.07144564e+17	   0.00000000e+00	  -1.07074039e+17	   6.75742850e+13	  -2.79936324e+02	  -1.83038315e+00	  -2.68498100e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.71285714e+19	    1.20570720e+16	   2.96004750e+01	    1.57196752e+00	    2.74517426e+00
  74	       7.709628	     0.99479076	     0.93016828	     0.45250047	    -0.00000077	    -0.16745494	   2.98113126e+12	   1.05638644e+17	   0.00000000e+00	  -1.05479658e+17	   1.56004553e+14	  -2.60639031e+02	  -1.83723375e+00	  -2.68429594e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.71691983e+19	    1.18767158e+16	   2.95937184e+01	    1.57196970e+00	    2.74517208e+00
  75	       7.718483	     0.99593327	     0.92994680	     0.45249434	    -0.00000078	    -0.16775776	   3.00308284e+12	   1.04554433e+17	   0.00000000e+00	  -1.04252686e+17	   2.98743482e+14	  -2.30027908e+02	  -1.84258524e+00	  -2.68376079e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72009526e+19	    1.17464304e+16	   2.95884438e+01	    1.57197137e+00	    2.74517040e+00
  76	       7.725368	     0.99682167	     0.92979919	     0.45248960	    -0.00000078	    -0.16796862	   3.01773550e+12	   1.03806073e+17	   0.00000000e+00	  -1.03308494e+17	   4.94561372e+14	  -1.88504616e+02	  -1.84675190e+00	  -2.68334412e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72256858e+19	    1.16558780e+16	   2.95843392e+01	    1.57197266e+00	    2.74516911e+00
  77	       7.730710	     0.99751098	     0.92970922	     0.45248595	    -0.00000078	    -0.16810767	   3.02662227e+12	   1.03315507e+17	   0.00000000e+00	  -1.02581776e+17	   7.30703857e+14	  -1.38742858e+02	  -1.84998823e+00	  -2.68302049e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72449020e+19	    1.15957859e+16	   2.95811526e+01	    1.57197366e+00	    2.74516812e+00
  78	       7.734850	     0.99804516	     0.92966130	     0.45248312	    -0.00000079	    -0.16819362	   3.03127502e+12	   1.03013441e+17	   0.00000000e+00	  -1.02022131e+17	   9.88278521e+14	  -8.46418453e+01	  -1.85249820e+00	  -2.68276949e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72598087e+19	    1.15580022e+16	   2.95786819e+01	    1.57197443e+00	    2.74516735e+00
  79	       7.738057	     0.99845897	     0.92964188	     0.45248093	    -0.00000079	    -0.16824250	   3.03305486e+12	   1.02842050e+17	   0.00000000e+00	  -1.01590688e+17	   1.24832919e+15	  -3.01108104e+01	  -1.85444376e+00	  -2.68257493e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72713657e+19	    1.15357605e+16	   2.95767673e+01	    1.57197502e+00	    2.74516676e+00
  80	       7.740543	     0.99877974	     0.92964026	     0.45247924	    -0.00000079	    -0.16826696	   3.03304717e+12	   1.02756400e+17	   0.00000000e+00	  -1.01257513e+17	   1.49585409e+15	   2.17511400e+01	  -1.85595243e+00	  -2.68242407e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.72803295e+19	    1.15238120e+16	   2.95752828e+01	    1.57197548e+00	    2.74516630e+00
  81	       7.742473	     0.99902877	     0.92964870	     0.45247792	    -0.00000079	    -0.16827625	   3.03203991e+12	   1.02723865e+17	   0.00000000e+00	  -1.00999600e+17	   1.72123297e+15	   6.89536897e+01	  -1.85712396e+00	  -2.68230692e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72872920e+19	    1.15183398e+16	   2.95741301e+01	    1.57197584e+00	    2.74516594e+00
  82	       7.743975	     0.99922261	     0.92966201	     0.45247690	    -0.00000079	    -0.16827674	   3.03055942e+12	   1.02722157e+17	   0.00000000e+00	  -1.00799303e+17	   1.91982341e+15	   1.10536911e+02	  -1.85803588e+00	  -2.68221572e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.72927135e+19	    1.15167241e+16	   2.95732327e+01	    1.57197611e+00	    2.74516566e+00
  83	       7.745149	     0.99937404	     0.92967699	     0.45247609	    -0.00000079	    -0.16827254	   3.02893038e+12	   1.02736862e+17	   0.00000000e+00	  -1.00643109e+17	   2.09072476e+15	   1.46317920e+02	  -1.85874820e+00	  -2.68214448e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.72969499e+19	    1.15172569e+16	   2.95725315e+01	    1.57197633e+00	    2.74516545e+00
  84	       7.746070	     0.99949289	     0.92969182	     0.45247547	    -0.00000079	    -0.16826618	   3.02733612e+12	   1.02759140e+17	   0.00000000e+00	  -1.00520688e+17	   2.23542446e+15	   1.76610785e+02	  -1.85930712e+00	  -2.68208859e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.73002757e+19	    1.15188761e+16	   2.95719811e+01	    1.57197650e+00	    2.74516528e+00
  85	       7.746797	     0.99958670	     0.92970556	     0.45247497	    -0.00000079	    -0.16825912	   3.02586823e+12	   1.02783860e+17	   0.00000000e+00	  -1.00424154e+17	   2.35667984e+15	   2.01994068e+02	  -1.85974817e+00	  -2.68204451e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   3.73029015e+19	    1.15209522e+16	   2.95715466e+01	    1.57197663e+00	    2.74516514e+00
  86	       7.747375	     0.99966128	     0.92971783	     0.45247457	    -0.00000079	    -0.16825215	   3.02456271e+12	   1.02808246e+17	   0.00000000e+00	  -1.00347489e+17	   2.45773261e+15	   2.23147133e+02	  -1.86009857e+00	  -2.68200948e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   3.73049889e+19	    1.15231322e+16	   2.95712013e+01	    1.57197674e+00	    2.74516504e+00
  87	       7.747838	     0.99972103	     0.92972856	     0.45247426	    -0.00000079	    -0.16824567	   3.02342421e+12	   1.02830947e+17	   0.00000000e+00	  -1.00286100e+17	   2.54182404e+15	   2.40748946e+02	  -1.86037918e+00	  -2.68198137e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801928e+01	   3.73066618e+19	    1.15252323e+16	   2.95709245e+01	    1.57197683e+00	    2.74516495e+00
  88	       7.748213	     0.99976936	     0.92973785	     0.45247400	    -0.00000079	    -0.16823983	   3.02244131e+12	   1.02851434e+17	   0.00000000e+00	  -1.00236477e+17	   2.61193444e+15	   2.55423691e+02	  -1.86060597e+00	  -2.68195869e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801929e+01	   3.73080149e+19	    1.15271687e+16	   2.95707006e+01	    1.57197690e+00	    2.74516488e+00
  89	       7.748519	     0.99980886	     0.92974586	     0.45247379	    -0.00000079	    -0.16823463	   3.02159561e+12	   1.02869632e+17	   0.00000000e+00	  -1.00195939e+17	   2.67067133e+15	   2.67717393e+02	  -1.86079119e+00	  -2.68194021e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.73091208e+19	    1.15289137e+16	   2.95705177e+01	    1.57197695e+00	    2.74516483e+00
  90	       7.748772	     0.99984153	     0.92975277	     0.45247362	    -0.00000079	    -0.16823005	   3.02086679e+12	   1.02885692e+17	   0.00000000e+00	  -1.00162425e+17	   2.72024622e+15	   2.78093119e+02	  -1.86094424e+00	  -2.68192488e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73100355e+19	    1.15304698e+16	   2.95703664e+01	    1.57197700e+00	    2.74516478e+00
  91	       7.748984	     0.99986890	     0.92975876	     0.45247347	    -0.00000079	    -0.16822601	   3.02023515e+12	   1.02899868e+17	   0.00000000e+00	  -1.00134348e+17	   2.76249926e+15	   2.86936144e+02	  -1.86107239e+00	  -2.68191204e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801928e+01	   3.73108021e+19	    1.15318541e+16	   2.95702396e+01	    1.57197704e+00	    2.74516474e+00
  92	       7.749164	     0.99989218	     0.92976400	     0.45247335	    -0.00000079	    -0.16822242	   3.01968285e+12	   1.02912445e+17	   0.00000000e+00	  -1.00110480e+17	   2.79894571e+15	   2.94563696e+02	  -1.86118128e+00	  -2.68190121e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   3.73114540e+19	    1.15330896e+16	   2.95701317e+01	    1.57197707e+00	    2.74516471e+00
  93	       7.749320	     0.99991230	     0.92976865	     0.45247324	    -0.00000079	    -0.16821921	   3.01919417e+12	   1.02923707e+17	   0.00000000e+00	  -1.00089858e+17	   2.83082935e+15	   3.01236154e+02	  -1.86127529e+00	  -2.68189188e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801940e+01	   3.73120174e+19	    1.15342012e+16	   2.95700385e+01	    1.57197710e+00	    2.74516468e+00
  94	       7.749457	     0.99992999	     0.92977282	     0.45247315	    -0.00000079	    -0.16821630	   3.01875549e+12	   1.02933916e+17	   0.00000000e+00	  -1.00071722e+17	   2.85917516e+15	   3.07168078e+02	  -1.86135793e+00	  -2.68188353e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.73125129e+19	    1.15352130e+16	   2.95699566e+01	    1.57197713e+00	    2.74516465e+00
  95	       7.749580	     0.99994586	     0.92977663	     0.45247307	    -0.00000079	    -0.16821362	   3.01835498e+12	   1.02943317e+17	   0.00000000e+00	  -1.00055461e+17	   2.88483788e+15	   3.12538378e+02	  -1.86143198e+00	  -2.68187606e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801926e+01	   3.73129573e+19	    1.15361477e+16	   2.95698831e+01	    1.57197715e+00	    2.74516463e+00
  96	       7.749693	     0.99996039	     0.92978018	     0.45247299	    -0.00000079	    -0.16821110	   3.01798221e+12	   1.02952133e+17	   0.00000000e+00	  -1.00040569e+17	   2.90854572e+15	   3.17499472e+02	  -1.86149978e+00	  -2.68186936e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801934e+01	   3.73133644e+19	    1.15370267e+16	   2.95698157e+01	    1.57197717e+00	    2.74516461e+00
  97	       7.749799	     0.99997401	     0.92978355	     0.45247292	    -0.00000079	    -0.16820870	   3.01762768e+12	   1.02960574e+17	   0.00000000e+00	  -1.00026616e+17	   2.93094009e+15	   3.22185600e+02	  -1.86156330e+00	  -2.68186304e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801937e+01	   3.73137459e+19	    1.15378705e+16	   2.95697526e+01	    1.57197719e+00	    2.74516459e+00
  98	       7.749900	     0.99998710	     0.92978684	     0.45247285	    -0.00000079	    -0.16820634	   3.01728238e+12	   1.02968846e+17	   0.00000000e+00	  -1.00013215e+17	   2.95261322e+15	   3.26720702e+02	  -1.86162430e+00	  -2.68185685e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801928e+01	   3.73141123e+19	    1.15386993e+16	   2.95696920e+01	    1.57197721e+00	    2.74516457e+00
  99	       7.750000	     1.00000000	     0.92979013	     0.45247278	    -0.00000079	    -0.16820397	   3.01693722e+12	   1.02977163e+17	   0.00000000e+00	  -1.00000000e+17	   2.97414642e+15	   3.31210043e+02	  -1.86165439e+00	  -2.68185378e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801922e+01	   3.73144737e+19	    1.15395346e+16	   2.95696322e+01	    1.57197723e+00	    2.74516455e+00
 100	       7.750000	     0.00000000	     0.92979013	     0.45246787	    -0.00000080	    -0.16820387	   3.01643278e+12	   9.84491288e+16	   0.00000000e+00	  -1.00000000e+17	  -1.55388768e+15	   3.31216008e+02	  -1.86171415e+00	  -2.68184770e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801912e+01	   3.73144984e+19	    1.05460943e+16	   2.95696322e+01	    1.57197723e+00	    2.74516455e+00
 101	       7.750100	     0.00000000	     0.92979343	     0.45246780	    -0.00000080	    -0.16820057	   3.01608660e+12	   9.84601990e+16	   0.00000000e+00	  -1.00000000e+17	  -1.54281708e+15	   3.28870211e+02	  -1.86174425e+00	  -2.68184488e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.73149699e+19	    1.05472534e+16	   2.95695725e+01	    1.57197724e+00	    2.74516453e+00
 102	       7.750201	     0.00000000	     0.92979676	     0.45246773	    -0.00000080	    -0.16819724	   3.01573784e+12	   9.84713525e+16	   0.00000000e+00	  -1.00000000e+17	  -1.53166329e+15	   3.26498614e+02	  -1.86180532e+00	  -2.68183885e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801938e+01	   3.73154483e+19	    1.05484209e+16	   2.95695118e+01	    1.57197726e+00	    2.74516452e+00
 103	       7.750307	     0.00000000	     0.92980020	     0.45246766	    -0.00000080	    -0.16819380	   3.01537664e+12	   9.84829047e+16	   0.00000000e+00	  -1.00000000e+17	  -1.52011068e+15	   3.24042547e+02	  -1.86186905e+00	  -2.68183242e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   3.73159474e+19	    1.05496301e+16	   2.95694485e+01	    1.57197728e+00	    2.74516450e+00
 104	       7.750421	     0.00000000	     0.92980386	     0.45246758	    -0.00000080	    -0.16819014	   3.01499291e+12	   9.84951787e+16	   0.00000000e+00	  -1.00000000e+17	  -1.50783627e+15	   3.21433392e+02	  -1.86193731e+00	  -2.68182557e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.73164819e+19	    1.05509145e+16	   2.95693808e+01	    1.57197730e+00	    2.74516448e+00
 105	       7.750545	     0.00000000	     0.92980784	     0.45246750	    -0.00000080	    -0.16818616	   3.01457564e+12	   9.85085264e+16	   0.00000000e+00	  -1.00000000e+17	  -1.49448814e+15	   3.18596430e+02	  -1.86201220e+00	  -2.68181810e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.73170680e+19	    1.05523110e+16	   2.95693065e+01	    1.57197732e+00	    2.74516446e+00
 106	       7.750684	     0.00000000	     0.92981225	     0.45246740	    -0.00000080	    -0.16818175	   3.01411227e+12	   9.85233501e+16	   0.00000000e+00	  -1.00000000e+17	  -1.47966404e+15	   3.15446295e+02	  -1.86209621e+00	  -2.68180973e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801936e+01	   3.73177249e+19	    1.05538616e+16	   2.95692232e+01	    1.57197734e+00	    2.74516444e+00
 107	       7.750844	     0.00000000	     0.92981725	     0.45246729	    -0.00000080	    -0.16817675	   3.01358796e+12	   9.85401252e+16	   0.00000000e+00	  -1.00000000e+17	  -1.46288843e+15	   3.11882136e+02	  -1.86219237e+00	  -2.68180005e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801929e+01	   3.73184763e+19	    1.05556159e+16	   2.95691279e+01	    1.57197737e+00	    2.74516441e+00
 108	       7.751029	     0.00000000	     0.92982300	     0.45246717	    -0.00000080	    -0.16817100	   3.01298476e+12	   9.85594260e+16	   0.00000000e+00	  -1.00000000e+17	  -1.44358700e+15	   3.07782225e+02	  -1.86230445e+00	  -2.68178886e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.73193513e+19	    1.05576338e+16	   2.95690170e+01	    1.57197740e+00	    2.74516438e+00
 109	       7.751249	     0.00000000	     0.92982971	     0.45246701	    -0.00000080	    -0.16816429	   3.01228076e+12	   9.85819543e+16	   0.00000000e+00	  -1.00000000e+17	  -1.42105799e+15	   3.02997925e+02	  -1.86243728e+00	  -2.68177559e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.73203873e+19	    1.05599883e+16	   2.95688856e+01	    1.57197744e+00	    2.74516434e+00
 110	       7.751513	     0.00000000	     0.92983763	     0.45246683	    -0.00000080	    -0.16815637	   3.01144912e+12	   9.86085707e+16	   0.00000000e+00	  -1.00000000e+17	  -1.39444078e+15	   2.97347116e+02	  -1.86259705e+00	  -2.68175958e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801928e+01	   3.73216324e+19	    1.05627689e+16	   2.95687278e+01	    1.57197748e+00	    2.74516430e+00
 111	       7.751834	     0.00000000	     0.92984708	     0.45246661	    -0.00000080	    -0.16814692	   3.01045700e+12	   9.86403266e+16	   0.00000000e+00	  -1.00000000e+17	  -1.36268386e+15	   2.90607506e+02	  -1.86279182e+00	  -2.68174013e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73231489e+19	    1.05660848e+16	   2.95685355e+01	    1.57197754e+00	    2.74516424e+00
 112	       7.752231	     0.00000000	     0.92985844	     0.45246634	    -0.00000080	    -0.16813556	   3.00926476e+12	   9.86784924e+16	   0.00000000e+00	  -1.00000000e+17	  -1.32451685e+15	   2.82510893e+02	  -1.86303212e+00	  -2.68171612e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   3.73250184e+19	    1.05700673e+16	   2.95682986e+01	    1.57197760e+00	    2.74516417e+00
 113	       7.752724	     0.00000000	     0.92987214	     0.45246600	    -0.00000080	    -0.16812186	   3.00782546e+12	   9.87245715e+16	   0.00000000e+00	  -1.00000000e+17	  -1.27843633e+15	   2.72740410e+02	  -1.86333172e+00	  -2.68168614e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73273475e+19	    1.05748717e+16	   2.95680033e+01	    1.57197769e+00	    2.74516409e+00
 114	       7.753345	     0.00000000	     0.92988870	     0.45246557	    -0.00000080	    -0.16810530	   3.00608535e+12	   9.87802839e+16	   0.00000000e+00	  -1.00000000e+17	  -1.22272220e+15	   2.60934312e+02	  -1.86370877e+00	  -2.68164844e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   3.73302768e+19	    1.05806743e+16	   2.95676320e+01	    1.57197779e+00	    2.74516399e+00
 115	       7.754133	     0.00000000	     0.92990867	     0.45246503	    -0.00000080	    -0.16808533	   3.00398604e+12	   9.88474923e+16	   0.00000000e+00	  -1.00000000e+17	  -1.15551173e+15	   2.46702025e+02	  -1.86418712e+00	  -2.68160060e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73339911e+19	    1.05876644e+16	   2.95671612e+01	    1.57197793e+00	    2.74516385e+00
 116	       7.755138	     0.00000000	     0.92993257	     0.45246434	    -0.00000080	    -0.16806143	   3.00146972e+12	   9.89280301e+16	   0.00000000e+00	  -1.00000000e+17	  -1.07497132e+15	   2.29660724e+02	  -1.86479819e+00	  -2.68153949e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73387341e+19	    1.05960249e+16	   2.95665601e+01	    1.57197810e+00	    2.74516368e+00
 117	       7.756428	     0.00000000	     0.92996085	     0.45246345	    -0.00000080	    -0.16803315	   2.99848866e+12	   9.90233819e+16	   0.00000000e+00	  -1.00000000e+17	  -9.79616616e+14	   2.09502781e+02	  -1.86558331e+00	  -2.68146097e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801930e+01	   3.73448262e+19	    1.06058973e+16	   2.95657881e+01	    1.57197832e+00	    2.74516346e+00
 118	       7.758093	     0.00000000	     0.92999367	     0.45246230	    -0.00000080	    -0.16800033	   2.99502051e+12	   9.91341650e+16	   0.00000000e+00	  -1.00000000e+17	  -8.68829995e+14	   1.86103674e+02	  -1.86659677e+00	  -2.68135963e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73526890e+19	    1.06173246e+16	   2.95647918e+01	    1.57197860e+00	    2.74516318e+00
 119	       7.760249	     0.00000000	     0.93003073	     0.45246081	    -0.00000080	    -0.16796327	   2.99108963e+12	   9.92594029e+16	   0.00000000e+00	  -1.00000000e+17	  -7.43588188e+14	   1.59671906e+02	  -1.86790964e+00	  -2.68122835e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73628750e+19	    1.06301723e+16	   2.95635014e+01	    1.57197897e+00	    2.74516281e+00
 120	       7.763049	     0.00000000	     0.93007100	     0.45245886	    -0.00000080	    -0.16792300	   2.98679125e+12	   9.93956779e+16	   0.00000000e+00	  -1.00000000e+17	  -6.07308845e+14	   1.30920676e+02	  -1.86961475e+00	  -2.68105783e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73761066e+19	    1.06440355e+16	   2.95618254e+01	    1.57197944e+00	    2.74516234e+00
 121	       7.766690	     0.00000000	     0.93011254	     0.45245633	    -0.00000081	    -0.16788146	   2.98230986e+12	   9.95364556e+16	   0.00000000e+00	  -1.00000000e+17	  -4.66526716e+14	   1.01201046e+02	  -1.87183272e+00	  -2.68083604e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.73933245e+19	    1.06581642e+16	   2.95596451e+01	    1.57198006e+00	    2.74516171e+00
 122	       7.771426	     0.00000000	     0.93015252	     0.45245303	    -0.00000081	    -0.16784148	   2.97791550e+12	   9.96721258e+16	   0.00000000e+00	  -1.00000000e+17	  -3.30852106e+14	   7.24868945e+01	  -1.87471951e+00	  -2.68054736e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.74157471e+19	    1.06714640e+16	   2.95568067e+01	    1.57198087e+00	    2.74516090e+00
 123	       7.777587	     0.00000000	     0.93018763	     0.45244872	    -0.00000081	    -0.16780637	   2.97391873e+12	   9.97914342e+16	   0.00000000e+00	  -1.00000000e+17	  -2.11539701e+14	   4.70827185e+01	  -1.87847554e+00	  -2.68017176e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.74449444e+19	    1.06826462e+16	   2.95531124e+01	    1.57198193e+00	    2.74515985e+00
 124	       7.785590	     0.00000000	     0.93021501	     0.45244310	    -0.00000082	    -0.16777899	   2.97057733e+12	   9.98845747e+16	   0.00000000e+00	  -1.00000000e+17	  -1.18395854e+14	   2.70098027e+01	  -1.88335660e+00	  -2.67968365e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.74829264e+19	    1.06905530e+16	   2.95483094e+01	    1.57198330e+00	    2.74515848e+00
 125	       7.795962	     0.00000000	     0.93023334	     0.45243578	    -0.00000082	    -0.16776066	   2.96798332e+12	   9.99469945e+16	   0.00000000e+00	  -1.00000000e+17	  -5.59735293e+13	   1.32606386e+01	  -1.88968666e+00	  -2.67905065e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.75322482e+19	    1.06945590e+16	   2.95420772e+01	    1.57198507e+00	    2.74515670e+00
 126	       7.809363	     0.00000000	     0.93024347	     0.45242629	    -0.00000083	    -0.16775053	   2.96600025e+12	   9.99815152e+16	   0.00000000e+00	  -1.00000000e+17	  -2.14508421e+13	   5.37269075e+00	  -1.89787255e+00	  -2.67823206e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.75961338e+19	    1.06947901e+16	   2.95340127e+01	    1.57198737e+00	    2.74515441e+00
 127	       7.826610	     0.00000000	     0.93024789	     0.45241401	    -0.00000084	    -0.16774611	   2.96431362e+12	   9.99965906e+16	   0.00000000e+00	  -1.00000000e+17	  -6.37367655e+12	   1.72444699e+00	  -1.90842051e+00	  -2.67717726e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.76786184e+19	    1.06919287e+16	   2.95236137e+01	    1.57199032e+00	    2.74515145e+00
 128	       7.848701	     0.00000000	     0.93024933	     0.45239817	    -0.00000086	    -0.16774467	   2.96256880e+12	   1.00001557e+17	   0.00000000e+00	  -1.00000000e+17	  -1.40530719e+12	   4.18015878e-01	  -1.92195426e+00	  -2.67582389e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   3.77847094e+19	    1.06866952e+16	   2.95102605e+01	    1.57199411e+00	    2.74514767e+00
