delta fi L
72 134 -7.197E-4
72 136 -4.300E-4
72 138 -1.408E-4
72 140 1.465E-4
72 142 4.303E-4
72 144 7.095E-4
72 146 9.825E-4
72 148 1.248E-3
72 150 1.505E-3
72 152 1.752E-3
72 154 1.987E-3
72 156 2.210E-3
72 158 2.420E-3
72 160 2.615E-3
72 162 2.794E-3
72 164 2.957E-3
72 166 3.103E-3
72 168 3.231E-3
72 170 3.340E-3
72 172 3.431E-3
72 174 3.501E-3
72 176 3.552E-3
72 178 3.583E-3
72 180 3.593E-3
74 0 3.719E-3
74 2 3.709E-3
74 4 3.677E-3
74 6 3.625E-3
74 8 3.551E-3
74 10 3.458E-3
74 12 3.345E-3
74 14 3.212E-3
74 16 3.061E-3
74 18 2.892E-3
74 20 2.707E-3
74 22 2.505E-3
74 24 2.288E-3
74 26 2.057E-3
74 28 1.813E-3
74 30 1.557E-3
74 32 1.291E-3
74 34 1.016E-3
74 36 7.338E-4
74 38 4.448E-4
74 40 1.509E-4
74 42 -1.465E-4
74 44 -4.459E-4
74 46 -7.459E-4
74 48 -1.045E-3
74 50 -1.342E-3
74 52 -1.635E-3
74 54 -1.922E-3
74 56 -2.203E-3
74 58 -2.476E-3
74 60 -2.740E-3
74 62 -2.994E-3
74 64 -3.235E-3
74 66 -3.464E-3
74 68 -3.678E-3
74 70 -3.878E-3
74 72 -4.061E-3
74 74 -4.228E-3
74 76 -4.377E-3
74 78 -4.507E-3
74 80 -4.619E-3
74 82 -4.711E-3
74 84 -4.783E-3
74 86 -4.835E-3
74 88 -4.866E-3
74 90 -4.876E-3
74 92 -4.866E-3
74 94 -4.835E-3
74 96 -4.783E-3
74 98 -4.711E-3
74 100 -4.619E-3
74 102 -4.507E-3
74 104 -4.377E-3
74 106 -4.228E-3
74 108 -4.061E-3
74 110 -3.878E-3
74 112 -3.678E-3
74 114 -3.464E-3
74 116 -3.235E-3
74 118 -2.994E-3
74 120 -2.740E-3
74 122 -2.476E-3
74 124 -2.203E-3
74 126 -1.922E-3
74 128 -1.635E-3
74 130 -1.342E-3
74 132 -1.045E-3
74 134 -7.459E-4
74 136 -4.459E-4
74 138 -1.465E-4
74 140 1.509E-4
74 142 4.448E-4
74 144 7.338E-4
74 146 1.016E-3
74 148 1.291E-3
74 150 1.557E-3
74 152 1.813E-3
74 154 2.057E-3
74 156 2.288E-3
74 158 2.505E-3
74 160 2.707E-3
74 162 2.892E-3
74 164 3.061E-3
74 166 3.212E-3
74 168 3.345E-3
74 170 3.458E-3
74 172 3.551E-3
74 174 3.625E-3
74 176 3.677E-3
74 178 3.709E-3
74 180 3.719E-3
76 0 3.847E-3
76 2 3.836E-3
76 4 3.803E-3
76 6 3.749E-3
76 8 3.673E-3
76 10 3.577E-3
76 12 3.460E-3
76 14 3.322E-3
76 16 3.166E-3
76 18 2.991E-3
76 20 2.799E-3
76 22 2.590E-3
76 24 2.366E-3
76 26 2.127E-3
76 28 1.874E-3
76 30 1.610E-3
76 32 1.335E-3
76 34 1.051E-3
76 36 7.583E-4
76 38 4.593E-4
76 40 1.553E-4
76 42 -1.523E-4
76 44 -4.620E-4
76 46 -7.723E-4
76 48 -1.082E-3
76 50 -1.389E-3
76 52 -1.692E-3
76 54 -1.989E-3
76 56 -2.280E-3
76 58 -2.562E-3
76 60 -2.835E-3
76 62 -3.097E-3
76 64 -3.347E-3
76 66 -3.583E-3
76 68 -3.805E-3
76 70 -4.012E-3
76 72 -4.201E-3
76 74 -4.374E-3
76 76 -4.528E-3
76 78 -4.663E-3
76 80 -4.778E-3
76 82 -4.873E-3
76 84 -4.948E-3
76 86 -5.001E-3
76 88 -5.033E-3
76 90 -5.044E-3
76 92 -5.033E-3
76 94 -5.001E-3
76 96 -4.948E-3
76 98 -4.873E-3
76 100 -4.778E-3
76 102 -4.663E-3
76 104 -4.528E-3
76 106 -4.374E-3
76 108 -4.201E-3
76 110 -4.012E-3
76 112 -3.805E-3
76 114 -3.583E-3
76 116 -3.347E-3
76 118 -3.097E-3
76 120 -2.835E-3
76 122 -2.562E-3
76 124 -2.280E-3
76 126 -1.989E-3
76 128 -1.692E-3
76 130 -1.389E-3
76 132 -1.082E-3
76 134 -7.723E-4
76 136 -4.620E-4
76 138 -1.523E-4
76 140 1.553E-4
76 142 4.593E-4
76 144 7.583E-4
76 146 1.051E-3
76 148 1.335E-3
76 150 1.610E-3
76 152 1.874E-3
76 154 2.127E-3
76 156 2.366E-3
76 158 2.590E-3
76 160 2.799E-3
76 162 2.991E-3
76 164 3.166E-3
76 166 3.322E-3
76 168 3.460E-3
76 170 3.577E-3
76 172 3.673E-3
76 174 3.749E-3
76 176 3.803E-3
76 178 3.836E-3
76 180 3.847E-3
78 0 3.976E-3
78 2 3.964E-3
78 4 3.931E-3
78 6 3.875E-3
78 8 3.796E-3
78 10 3.696E-3
78 12 3.575E-3
78 14 3.434E-3
78 16 3.272E-3
78 18 3.091E-3
78 20 2.893E-3
78 22 2.677E-3
78 24 2.445E-3
78 26 2.197E-3
78 28 1.937E-3
78 30 1.663E-3
78 32 1.379E-3
78 34 1.085E-3
78 36 7.829E-4
78 38 4.739E-4
78 40 1.597E-4
78 42 -1.582E-4
78 44 -4.783E-4
78 46 -7.990E-4
78 48 -1.119E-3
78 50 -1.436E-3
78 52 -1.749E-3
78 54 -2.057E-3
78 56 -2.357E-3
78 58 -2.649E-3
78 60 -2.931E-3
78 62 -3.202E-3
78 64 -3.460E-3
78 66 -3.704E-3
78 68 -3.933E-3
78 70 -4.146E-3
78 72 -4.343E-3
78 74 -4.521E-3
78 76 -4.680E-3
78 78 -4.819E-3
78 80 -4.938E-3
78 82 -5.037E-3
78 84 -5.114E-3
78 86 -5.169E-3
78 88 -5.202E-3
78 90 -5.213E-3
78 92 -5.202E-3
78 94 -5.169E-3
78 96 -5.114E-3
78 98 -5.037E-3
78 100 -4.938E-3
78 102 -4.819E-3
78 104 -4.680E-3
78 106 -4.521E-3
78 108 -4.343E-3
78 110 -4.146E-3
78 112 -3.933E-3
78 114 -3.704E-3
78 116 -3.460E-3
78 118 -3.202E-3
78 120 -2.931E-3
78 122 -2.649E-3
78 124 -2.357E-3
78 126 -2.057E-3
78 128 -1.749E-3
78 130 -1.436E-3
78 132 -1.119E-3
78 134 -7.990E-4
78 136 -4.783E-4
78 138 -1.582E-4
78 140 1.597E-4
78 142 4.739E-4
78 144 7.829E-4
78 146 1.085E-3
78 148 1.379E-3
78 150 1.663E-3
78 152 1.937E-3
78 154 2.197E-3
78 156 2.445E-3
78 158 2.677E-3
78 160 2.893E-3
78 162 3.091E-3
78 164 3.272E-3
78 166 3.434E-3
78 168 3.575E-3
78 170 3.696E-3
78 172 3.796E-3
78 174 3.875E-3
78 176 3.931E-3
78 178 3.964E-3
78 180 3.976E-3
80 0 4.105E-3
80 2 4.094E-3
80 4 4.059E-3
80 6 4.001E-3
80 8 3.920E-3
80 10 3.817E-3
80 12 3.692E-3
80 14 3.545E-3
80 16 3.378E-3
80 18 3.192E-3
80 20 2.987E-3
80 22 2.764E-3
80 24 2.524E-3
80 26 2.269E-3
80 28 1.999E-3
80 30 1.717E-3
80 32 1.424E-3
80 34 1.120E-3
80 36 8.077E-4
80 38 4.886E-4
80 40 1.641E-4
80 42 -1.643E-4
80 44 -4.948E-4
80 46 -8.260E-4
80 48 -1.156E-3
80 50 -1.484E-3
80 52 -1.807E-3
80 54 -2.124E-3
80 56 -2.435E-3
80 58 -2.736E-3
80 60 -3.027E-3
80 62 -3.307E-3
80 64 -3.573E-3
80 66 -3.826E-3
80 68 -4.062E-3
80 70 -4.282E-3
80 72 -4.485E-3
80 74 -4.669E-3
80 76 -4.833E-3
80 78 -4.977E-3
80 80 -5.100E-3
80 82 -5.201E-3
80 84 -5.281E-3
80 86 -5.338E-3
80 88 -5.372E-3
80 90 -5.384E-3
80 92 -5.372E-3
80 94 -5.338E-3
80 96 -5.281E-3
80 98 -5.201E-3
80 100 -5.100E-3
80 102 -4.977E-3
80 104 -4.833E-3
80 106 -4.669E-3
80 108 -4.485E-3
80 110 -4.282E-3
80 112 -4.062E-3
80 114 -3.826E-3
80 116 -3.573E-3
80 118 -3.307E-3
80 120 -3.027E-3
80 122 -2.736E-3
80 124 -2.435E-3
80 126 -2.124E-3
80 128 -1.807E-3
80 130 -1.484E-3
80 132 -1.156E-3
80 134 -8.260E-4
80 136 -4.948E-4
80 138 -1.643E-4
80 140 1.641E-4
80 142 4.886E-4
80 144 8.077E-4
80 146 1.120E-3
80 148 1.424E-3
80 150 1.717E-3
80 152 1.999E-3
80 154 2.269E-3
80 156 2.524E-3
80 158 2.764E-3
80 160 2.987E-3
80 162 3.192E-3
80 164 3.378E-3
80 166 3.545E-3
80 168 3.692E-3
80 170 3.817E-3
80 172 3.920E-3
80 174 4.001E-3
80 176 4.059E-3
80 178 4.094E-3
80 180 4.105E-3
82 0 4.236E-3
82 2 4.224E-3
82 4 4.188E-3
82 6 4.128E-3
82 8 4.044E-3
82 10 3.938E-3
82 12 3.809E-3
82 14 3.658E-3
82 16 3.486E-3
82 18 3.293E-3
82 20 3.081E-3
82 22 2.851E-3
82 24 2.604E-3
82 26 2.340E-3
82 28 2.062E-3
82 30 1.771E-3
82 32 1.468E-3
82 34 1.155E-3
82 36 8.326E-4
82 38 5.033E-4
82 40 1.684E-4
82 42 -1.704E-4
82 44 -5.114E-4
82 46 -8.531E-4
82 48 -1.194E-3
82 50 -1.532E-3
82 52 -1.865E-3
82 54 -2.193E-3
82 56 -2.513E-3
82 58 -2.824E-3
82 60 -3.124E-3
82 62 -3.413E-3
82 64 -3.688E-3
82 66 -3.948E-3
82 68 -4.192E-3
82 70 -4.419E-3
82 72 -4.628E-3
82 74 -4.818E-3
82 76 -4.987E-3
82 78 -5.136E-3
82 80 -5.262E-3
82 82 -5.367E-3
82 84 -5.449E-3
82 86 -5.508E-3
82 88 -5.543E-3
82 90 -5.555E-3
82 92 -5.543E-3
82 94 -5.508E-3
82 96 -5.449E-3
82 98 -5.367E-3
82 100 -5.262E-3
82 102 -5.136E-3
82 104 -4.987E-3
82 106 -4.818E-3
82 108 -4.628E-3
82 110 -4.419E-3
82 112 -4.192E-3
82 114 -3.948E-3
82 116 -3.688E-3
82 118 -3.413E-3
82 120 -3.124E-3
82 122 -2.824E-3
82 124 -2.513E-3
82 126 -2.193E-3
82 128 -1.865E-3
82 130 -1.532E-3
82 132 -1.194E-3
82 134 -8.531E-4
82 136 -5.114E-4
82 138 -1.704E-4
82 140 1.684E-4
82 142 5.033E-4
82 144 8.326E-4
82 146 1.155E-3
82 148 1.468E-3
82 150 1.771E-3
82 152 2.062E-3
82 154 2.340E-3
82 156 2.604E-3
82 158 2.851E-3
82 160 3.081E-3
82 162 3.293E-3
82 164 3.486E-3
82 166 3.658E-3
82 168 3.809E-3
82 170 3.938E-3
82 172 4.044E-3
82 174 4.128E-3
82 176 4.188E-3
82 178 4.224E-3
82 180 4.236E-3
84 0 4.367E-3
84 2 4.354E-3
84 4 4.317E-3
84 6 4.256E-3
84 8 4.170E-3
84 10 4.060E-3
84 12 3.927E-3
84 14 3.771E-3
84 16 3.593E-3
84 18 3.395E-3
84 20 3.176E-3
84 22 2.939E-3
84 24 2.684E-3
84 26 2.412E-3
84 28 2.125E-3
84 30 1.825E-3
84 32 1.513E-3
84 34 1.190E-3
84 36 8.575E-4
84 38 5.180E-4
84 40 1.728E-4
84 42 -1.766E-4
84 44 -5.282E-4
84 46 -8.805E-4
84 48 -1.232E-3
84 50 -1.580E-3
84 52 -1.924E-3
84 54 -2.262E-3
84 56 -2.592E-3
84 58 -2.912E-3
84 60 -3.222E-3
84 62 -3.519E-3
84 64 -3.802E-3
84 66 -4.071E-3
84 68 -4.322E-3
84 70 -4.556E-3
84 72 -4.772E-3
84 74 -4.967E-3
84 76 -5.142E-3
84 78 -5.295E-3
84 80 -5.426E-3
84 82 -5.534E-3
84 84 -5.618E-3
84 86 -5.679E-3
84 88 -5.715E-3
84 90 -5.727E-3
84 92 -5.715E-3
84 94 -5.679E-3
84 96 -5.618E-3
84 98 -5.534E-3
84 100 -5.426E-3
84 102 -5.295E-3
84 104 -5.142E-3
84 106 -4.967E-3
84 108 -4.772E-3
84 110 -4.556E-3
84 112 -4.322E-3
84 114 -4.071E-3
84 116 -3.802E-3
84 118 -3.519E-3
84 120 -3.222E-3
84 122 -2.912E-3
84 124 -2.592E-3
84 126 -2.262E-3
84 128 -1.924E-3
84 130 -1.580E-3
84 132 -1.232E-3
84 134 -8.805E-4
84 136 -5.282E-4
84 138 -1.766E-4
84 140 1.728E-4
84 142 5.180E-4
84 144 8.575E-4
84 146 1.190E-3
84 148 1.513E-3
84 150 1.825E-3
84 152 2.125E-3
84 154 2.412E-3
84 156 2.684E-3
84 158 2.939E-3
84 160 3.176E-3
84 162 3.395E-3
84 164 3.593E-3
84 166 3.771E-3
84 168 3.927E-3
84 170 4.060E-3
84 172 4.170E-3
84 174 4.256E-3
84 176 4.317E-3
84 178 4.354E-3
84 180 4.367E-3
86 0 4.498E-3
86 2 4.485E-3
86 4 4.447E-3
86 6 4.384E-3
86 8 4.295E-3
86 10 4.182E-3
86 12 4.045E-3
86 14 3.884E-3
86 16 3.701E-3
86 18 3.496E-3
86 20 3.271E-3
86 22 3.027E-3
86 24 2.764E-3
86 26 2.484E-3
86 28 2.189E-3
86 30 1.879E-3
86 32 1.557E-3
86 34 1.225E-3
86 36 8.825E-4
86 38 5.327E-4
86 40 1.770E-4
86 42 -1.828E-4
86 44 -5.451E-4
86 46 -9.079E-4
86 48 -1.270E-3
86 50 -1.629E-3
86 52 -1.983E-3
86 54 -2.331E-3
86 56 -2.671E-3
86 58 -3.001E-3
86 60 -3.320E-3
86 62 -3.626E-3
86 64 -3.918E-3
86 66 -4.194E-3
86 68 -4.453E-3
86 70 -4.694E-3
86 72 -4.916E-3
86 74 -5.117E-3
86 76 -5.297E-3
86 78 -5.455E-3
86 80 -5.590E-3
86 82 -5.701E-3
86 84 -5.788E-3
86 86 -5.850E-3
86 88 -5.888E-3
86 90 -5.900E-3
86 92 -5.888E-3
86 94 -5.850E-3
86 96 -5.788E-3
86 98 -5.701E-3
86 100 -5.590E-3
86 102 -5.455E-3
86 104 -5.297E-3
86 106 -5.117E-3
86 108 -4.916E-3
86 110 -4.694E-3
86 112 -4.453E-3
86 114 -4.194E-3
86 116 -3.918E-3
86 118 -3.626E-3
86 120 -3.320E-3
86 122 -3.001E-3
86 124 -2.671E-3
86 126 -2.331E-3
86 128 -1.983E-3
86 130 -1.629E-3
86 132 -1.270E-3
86 134 -9.079E-4
86 136 -5.451E-4
86 138 -1.828E-4
86 140 1.770E-4
86 142 5.327E-4
86 144 8.825E-4
86 146 1.225E-3
86 148 1.557E-3
86 150 1.879E-3
86 152 2.189E-3
86 154 2.484E-3
86 156 2.764E-3
86 158 3.027E-3
86 160 3.271E-3
86 162 3.496E-3
86 164 3.701E-3
86 166 3.884E-3
86 168 4.045E-3
86 170 4.182E-3
86 172 4.295E-3
86 174 4.384E-3
86 176 4.447E-3
86 178 4.485E-3
86 180 4.498E-3
88 0 4.630E-3
88 2 4.617E-3
88 4 4.577E-3
88 6 4.512E-3
88 8 4.421E-3
88 10 4.304E-3
88 12 4.163E-3
88 14 3.997E-3
88 16 3.809E-3
88 18 3.598E-3
88 20 3.367E-3
88 22 3.115E-3
88 24 2.844E-3
88 26 2.556E-3
88 28 2.252E-3
88 30 1.934E-3
88 32 1.602E-3
88 34 1.260E-3
88 36 9.074E-4
88 38 5.474E-4
88 40 1.813E-4
88 42 -1.892E-4
88 44 -5.620E-4
88 46 -9.355E-4
88 48 -1.308E-3
88 50 -1.677E-3
88 52 -2.042E-3
88 54 -2.400E-3
88 56 -2.750E-3
88 58 -3.090E-3
88 60 -3.418E-3
88 62 -3.733E-3
88 64 -4.033E-3
88 66 -4.317E-3
88 68 -4.584E-3
88 70 -4.832E-3
88 72 -5.060E-3
88 74 -5.268E-3
88 76 -5.453E-3
88 78 -5.615E-3
88 80 -5.754E-3
88 82 -5.868E-3
88 84 -5.957E-3
88 86 -6.022E-3
88 88 -6.060E-3
88 90 -6.073E-3
88 92 -6.060E-3
88 94 -6.022E-3
88 96 -5.957E-3
88 98 -5.868E-3
88 100 -5.754E-3
88 102 -5.615E-3
88 104 -5.453E-3
88 106 -5.268E-3
88 108 -5.060E-3
88 110 -4.832E-3
88 112 -4.584E-3
88 114 -4.317E-3
88 116 -4.033E-3
88 118 -3.733E-3
88 120 -3.418E-3
88 122 -3.090E-3
88 124 -2.750E-3
88 126 -2.400E-3
88 128 -2.042E-3
88 130 -1.677E-3
88 132 -1.308E-3
88 134 -9.355E-4
88 136 -5.620E-4
88 138 -1.892E-4
88 140 1.813E-4
88 142 5.474E-4
88 144 9.074E-4
88 146 1.260E-3
88 148 1.602E-3
88 150 1.934E-3
88 152 2.252E-3
88 154 2.556E-3
88 156 2.844E-3
88 158 3.115E-3
88 160 3.367E-3
88 162 3.598E-3
88 164 3.809E-3
88 166 3.997E-3
88 168 4.163E-3
88 170 4.304E-3
88 172 4.421E-3
88 174 4.512E-3
88 176 4.577E-3
88 178 4.617E-3
88 180 4.630E-3
90 0 4.762E-3
90 2 4.748E-3
90 4 4.708E-3
90 6 4.640E-3
90 8 4.546E-3
90 10 4.426E-3
90 12 4.281E-3
90 14 4.111E-3
90 16 3.917E-3
90 18 3.700E-3
90 20 3.462E-3
90 22 3.203E-3
90 24 2.925E-3
90 26 2.628E-3
90 28 2.316E-3
90 30 1.988E-3
90 32 1.647E-3
90 34 1.295E-3
90 36 9.324E-4
90 38 5.620E-4
90 40 1.854E-4
90 42 -1.955E-4
90 44 -5.791E-4
90 46 -9.632E-4
90 48 -1.346E-3
90 50 -1.726E-3
90 52 -2.101E-3
90 54 -2.469E-3
90 56 -2.829E-3
90 58 -3.178E-3
90 60 -3.516E-3
90 62 -3.840E-3
90 64 -4.149E-3
90 66 -4.441E-3
90 68 -4.716E-3
90 70 -4.971E-3
90 72 -5.205E-3
90 74 -5.418E-3
90 76 -5.609E-3
90 78 -5.775E-3
90 80 -5.918E-3
90 82 -6.035E-3
90 84 -6.128E-3
90 86 -6.194E-3
90 88 -6.233E-3
90 90 -6.247E-3
90 92 -6.233E-3
90 94 -6.194E-3
90 96 -6.128E-3
90 98 -6.035E-3
90 100 -5.918E-3
90 102 -5.775E-3
90 104 -5.609E-3
90 106 -5.418E-3
90 108 -5.205E-3
90 110 -4.971E-3
90 112 -4.716E-3
90 114 -4.441E-3
90 116 -4.149E-3
90 118 -3.840E-3
90 120 -3.516E-3
90 122 -3.178E-3
90 124 -2.829E-3
90 126 -2.469E-3
90 128 -2.101E-3
90 130 -1.726E-3
90 132 -1.346E-3
90 134 -9.632E-4
90 136 -5.791E-4
90 138 -1.955E-4
90 140 1.854E-4
90 142 5.620E-4
90 144 9.324E-4
90 146 1.295E-3
90 148 1.647E-3
90 150 1.988E-3
90 152 2.316E-3
90 154 2.628E-3
90 156 2.925E-3
90 158 3.203E-3
90 160 3.462E-3
90 162 3.700E-3
90 164 3.917E-3
90 166 4.111E-3
90 168 4.281E-3
90 170 4.426E-3
90 172 4.546E-3
90 174 4.640E-3
90 176 4.708E-3
90 178 4.748E-3
90 180 4.762E-3
92 0 4.893E-3
92 2 4.879E-3
92 4 4.838E-3
92 6 4.768E-3
92 8 4.672E-3
92 10 4.549E-3
92 12 4.399E-3
92 14 4.224E-3
92 16 4.025E-3
92 18 3.802E-3
92 20 3.557E-3
92 22 3.291E-3
92 24 3.005E-3
92 26 2.700E-3
92 28 2.379E-3
92 30 2.042E-3
92 32 1.692E-3
92 34 1.330E-3
92 36 9.572E-4
92 38 5.766E-4
92 40 1.896E-4
92 42 -2.020E-4
92 44 -5.961E-4
92 46 -9.909E-4
92 48 -1.384E-3
92 50 -1.775E-3
92 52 -2.160E-3
92 54 -2.539E-3
92 56 -2.908E-3
92 58 -3.267E-3
92 60 -3.614E-3
92 62 -3.947E-3
92 64 -4.265E-3
92 66 -4.565E-3
92 68 -4.847E-3
92 70 -5.109E-3
92 72 -5.350E-3
92 74 -5.569E-3
92 76 -5.764E-3
92 78 -5.936E-3
92 80 -6.082E-3
92 82 -6.203E-3
92 84 -6.297E-3
92 86 -6.365E-3
92 88 -6.406E-3
92 90 -6.420E-3
92 92 -6.406E-3
92 94 -6.365E-3
92 96 -6.297E-3
92 98 -6.203E-3
92 100 -6.082E-3
92 102 -5.936E-3
92 104 -5.764E-3
92 106 -5.569E-3
92 108 -5.350E-3
92 110 -5.109E-3
92 112 -4.847E-3
92 114 -4.565E-3
92 116 -4.265E-3
92 118 -3.947E-3
92 120 -3.614E-3
92 122 -3.267E-3
92 124 -2.908E-3
92 126 -2.539E-3
92 128 -2.160E-3
92 130 -1.775E-3
92 132 -1.384E-3
92 134 -9.909E-4
92 136 -5.961E-4
92 138 -2.020E-4
92 140 1.896E-4
92 142 5.766E-4
92 144 9.572E-4
92 146 1.330E-3
92 148 1.692E-3
92 150 2.042E-3
92 152 2.379E-3
92 154 2.700E-3
92 156 3.005E-3
92 158 3.291E-3
92 160 3.557E-3
92 162 3.802E-3
92 164 4.025E-3
92 166 4.224E-3
92 168 4.399E-3
92 170 4.549E-3
92 172 4.672E-3
92 174 4.768E-3
92 176 4.838E-3
92 178 4.879E-3
92 180 4.893E-3
94 0 5.025E-3
94 2 5.010E-3
94 4 4.968E-3
94 6 4.896E-3
94 8 4.797E-3
94 10 4.671E-3
94 12 4.517E-3
94 14 4.338E-3
94 16 4.133E-3
94 18 3.904E-3
94 20 3.652E-3
94 22 3.379E-3
94 24 3.085E-3
94 26 2.772E-3
94 28 2.442E-3
94 30 2.096E-3
94 32 1.736E-3
94 34 1.364E-3
94 36 9.820E-4
94 38 5.911E-4
94 40 1.936E-4
94 42 -2.085E-4
94 44 -6.132E-4
94 46 -1.019E-3
94 48 -1.423E-3
94 50 -1.824E-3
94 52 -2.219E-3
94 54 -2.608E-3
94 56 -2.987E-3
94 58 -3.356E-3
94 60 -3.712E-3
94 62 -4.054E-3
94 64 -4.380E-3
94 66 -4.688E-3
94 68 -4.978E-3
94 70 -5.247E-3
94 72 -5.494E-3
94 74 -5.719E-3
94 76 -5.920E-3
94 78 -6.096E-3
94 80 -6.246E-3
94 82 -6.370E-3
94 84 -6.467E-3
94 86 -6.537E-3
94 88 -6.579E-3
94 90 -6.593E-3
94 92 -6.579E-3
94 94 -6.537E-3
94 96 -6.467E-3
94 98 -6.370E-3
94 100 -6.246E-3
94 102 -6.096E-3
94 104 -5.920E-3
94 106 -5.719E-3
94 108 -5.494E-3
94 110 -5.247E-3
94 112 -4.978E-3
94 114 -4.688E-3
94 116 -4.380E-3
94 118 -4.054E-3
94 120 -3.712E-3
94 122 -3.356E-3
94 124 -2.987E-3
94 126 -2.608E-3
94 128 -2.219E-3
94 130 -1.824E-3
94 132 -1.423E-3
94 134 -1.019E-3
94 136 -6.132E-4
94 138 -2.085E-4
94 140 1.936E-4
94 142 5.911E-4
94 144 9.820E-4
94 146 1.364E-3
94 148 1.736E-3
94 150 2.096E-3
94 152 2.442E-3
94 154 2.772E-3
94 156 3.085E-3
94 158 3.379E-3
94 160 3.652E-3
94 162 3.904E-3
94 164 4.133E-3
94 166 4.338E-3
94 168 4.517E-3
94 170 4.671E-3
94 172 4.797E-3
94 174 4.896E-3
94 176 4.968E-3
94 178 5.010E-3
94 180 5.025E-3
96 0 5.156E-3
96 2 5.141E-3
96 4 5.097E-3
96 6 5.024E-3
96 8 4.922E-3
96 10 4.792E-3
96 12 4.635E-3
96 14 4.451E-3
96 16 4.241E-3
96 18 4.006E-3
96 20 3.747E-3
96 22 3.467E-3
96 24 3.165E-3
96 26 2.844E-3
96 28 2.505E-3
96 30 2.150E-3
96 32 1.781E-3
96 34 1.399E-3
96 36 1.007E-3
96 38 6.055E-4
96 40 1.976E-4
96 42 -2.150E-4
96 44 -6.304E-4
96 46 -1.046E-3
96 48 -1.461E-3
96 50 -1.872E-3
96 52 -2.278E-3
96 54 -2.677E-3
96 56 -3.066E-3
96 58 -3.445E-3
96 60 -3.810E-3
96 62 -4.161E-3
96 64 -4.495E-3
96 66 -4.812E-3
96 68 -5.109E-3
96 70 -5.385E-3
96 72 -5.638E-3
96 74 -5.869E-3
96 76 -6.075E-3
96 78 -6.255E-3
96 80 -6.410E-3
96 82 -6.537E-3
96 84 -6.636E-3
96 86 -6.708E-3
96 88 -6.751E-3
96 90 -6.765E-3
96 92 -6.751E-3
96 94 -6.708E-3
96 96 -6.636E-3
96 98 -6.537E-3
96 100 -6.410E-3
96 102 -6.255E-3
96 104 -6.075E-3
96 106 -5.869E-3
96 108 -5.638E-3
96 110 -5.385E-3
96 112 -5.109E-3
96 114 -4.812E-3
96 116 -4.495E-3
96 118 -4.161E-3
96 120 -3.810E-3
96 122 -3.445E-3
96 124 -3.066E-3
96 126 -2.677E-3
96 128 -2.278E-3
96 130 -1.872E-3
96 132 -1.461E-3
96 134 -1.046E-3
96 136 -6.304E-4
96 138 -2.150E-4
96 140 1.976E-4
96 142 6.055E-4
96 144 1.007E-3
96 146 1.399E-3
96 148 1.781E-3
96 150 2.150E-3
96 152 2.505E-3
96 154 2.844E-3
96 156 3.165E-3
96 158 3.467E-3
96 160 3.747E-3
96 162 4.006E-3
96 164 4.241E-3
96 166 4.451E-3
96 168 4.635E-3
96 170 4.792E-3
96 172 4.922E-3
96 174 5.024E-3
96 176 5.097E-3
96 178 5.141E-3
96 180 5.156E-3
98 0 5.286E-3
98 2 5.271E-3
98 4 5.226E-3
98 6 5.151E-3
98 8 5.047E-3
98 10 4.914E-3
98 12 4.752E-3
98 14 4.563E-3
98 16 4.348E-3
98 18 4.107E-3
98 20 3.842E-3
98 22 3.554E-3
98 24 3.245E-3
98 26 2.915E-3
98 28 2.568E-3
98 30 2.204E-3
98 32 1.825E-3
98 34 1.434E-3
98 36 1.031E-3
98 38 6.198E-4
98 40 2.015E-4
98 42 -2.216E-4
98 44 -6.475E-4
98 46 -1.074E-3
98 48 -1.499E-3
98 50 -1.921E-3
98 52 -2.337E-3
98 54 -2.746E-3
98 56 -3.145E-3
98 58 -3.533E-3
98 60 -3.908E-3
98 62 -4.267E-3
98 64 -4.610E-3
98 66 -4.934E-3
98 68 -5.239E-3
98 70 -5.522E-3
98 72 -5.782E-3
98 74 -6.018E-3
98 76 -6.229E-3
98 78 -6.415E-3
98 80 -6.573E-3
98 82 -6.703E-3
98 84 -6.805E-3
98 86 -6.878E-3
98 88 -6.922E-3
98 90 -6.937E-3
98 92 -6.922E-3
98 94 -6.878E-3
98 96 -6.805E-3
98 98 -6.703E-3
98 100 -6.573E-3
98 102 -6.415E-3
98 104 -6.229E-3
98 106 -6.018E-3
98 108 -5.782E-3
98 110 -5.522E-3
98 112 -5.239E-3
98 114 -4.934E-3
98 116 -4.610E-3
98 118 -4.267E-3
98 120 -3.908E-3
98 122 -3.533E-3
98 124 -3.145E-3
98 126 -2.746E-3
98 128 -2.337E-3
98 130 -1.921E-3
98 132 -1.499E-3
98 134 -1.074E-3
98 136 -6.475E-4
98 138 -2.216E-4
98 140 2.015E-4
98 142 6.198E-4
98 144 1.031E-3
98 146 1.434E-3
98 148 1.825E-3
98 150 2.204E-3
98 152 2.568E-3
98 154 2.915E-3
98 156 3.245E-3
98 158 3.554E-3
98 160 3.842E-3
98 162 4.107E-3
98 164 4.348E-3
98 166 4.563E-3
98 168 4.752E-3
98 170 4.914E-3
98 172 5.047E-3
98 174 5.151E-3
98 176 5.226E-3
98 178 5.271E-3
98 180 5.286E-3
100 0 5.416E-3
100 2 5.401E-3
100 4 5.355E-3
100 6 5.278E-3
100 8 5.171E-3
100 10 5.034E-3
100 12 4.869E-3
